DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
20210101	20010101	20210101	20210101	20210101	20210101	20210101	20201228	2021-01-01	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2020-12-28	20210101	21	2021	1	1	1	1	53	1	1	1	5	1609459200	2021-01-01	January 1st, 2021	01 JAN 2021	Twenty-First	2021-01-01	First	First	First	January	001	1st	First Friday	Friday	S1	T1	Q1	Jan	1st Fri	Fri	2021-S1	2021-T1	2021-Q1	2021-01 (Jan)	2021-001	2021-First Semester	2021-First Trimester	2021-First Quarter	2021-01 (January)	2020-W53	2020-W-5	Weekday
20210201	20010101	20210101	20210101	20210101	20210101	20210201	20210201	2021-02-01	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2021-02-01	2021-02-01	20210201	21	2021	1	1	1	2	5	32	1	1	1	1612137600	2021-02-01	February 1st, 2021	01 FEB 2021	Twenty-First	2021-01-01	First	First	First	February	032	1st	First Monday	Monday	S1	T1	Q1	Feb	1st Mon	Mon	2021-S1	2021-T1	2021-Q1	2021-02 (Feb)	2021-032	2021-First Semester	2021-First Trimester	2021-First Quarter	2021-02 (February)	2021-W05	2021-W-1	Weekday
20210301	20010101	20210101	20210101	20210101	20210101	20210301	20210301	2021-03-01	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2021-03-01	2021-03-01	20210301	21	2021	1	1	1	3	9	60	1	1	1	1614556800	2021-03-01	March 1st, 2021	01 MAR 2021	Twenty-First	2021-01-01	First	First	First	March	060	1st	First Monday	Monday	S1	T1	Q1	Mar	1st Mon	Mon	2021-S1	2021-T1	2021-Q1	2021-03 (Mar)	2021-060	2021-First Semester	2021-First Trimester	2021-First Quarter	2021-03 (March)	2021-W09	2021-W-1	Weekday
20210401	20010101	20210101	20210101	20210101	20210401	20210401	20210329	2021-04-01	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-04-01	2021-04-01	2021-03-29	20210401	21	2021	1	1	2	4	13	91	1	1	4	1617235200	2021-04-01	April 1st, 2021	01 APR 2021	Twenty-First	2021-01-01	First	First	Second	April	091	1st	First Thursday	Thursday	S1	T1	Q2	Apr	1st Thu	Thu	2021-S1	2021-T1	2021-Q2	2021-04 (Apr)	2021-091	2021-First Semester	2021-First Trimester	2021-Second Quarter	2021-04 (April)	2021-W13	2021-W-4	Weekday
20210501	20010101	20210101	20210101	20210501	20210401	20210501	20210426	2021-05-01	2001-01-01	2021-01-01	2021-01-01	2021-05-01	2021-04-01	2021-05-01	2021-04-26	20210501	21	2021	1	2	2	5	17	121	1	1	6	1619827200	2021-05-01	May 1st, 2021	01 MAY 2021	Twenty-First	2021-01-01	First	Second	Second	May	121	1st	First Saturday	Saturday	S1	T1	Q2	May	1st Sat	Sat	2021-S1	2021-T1	2021-Q2	2021-05 (May)	2021-121	2021-First Semester	2021-Second Trimester	2021-Second Quarter	2021-05 (May)	2021-W17	2021-W-6	Weekend
20210601	20010101	20210101	20210101	20210501	20210401	20210601	20210531	2021-06-01	2001-01-01	2021-01-01	2021-01-01	2021-05-01	2021-04-01	2021-06-01	2021-05-31	20210601	21	2021	1	2	2	6	22	152	1	1	2	1622505600	2021-06-01	June 1st, 2021	01 JUN 2021	Twenty-First	2021-01-01	First	Second	Second	June	152	1st	First Tuesday	Tuesday	S1	T1	Q2	Jun	1st Tue	Tue	2021-S1	2021-T1	2021-Q2	2021-06 (Jun)	2021-152	2021-First Semester	2021-Second Trimester	2021-Second Quarter	2021-06 (June)	2021-W22	2021-W-2	Weekday
20210701	20010101	20210101	20210701	20210501	20210601	20210701	20210628	2021-07-01	2001-01-01	2021-01-01	2021-07-01	2021-05-01	2021-06-01	2021-07-01	2021-06-28	20210701	21	2021	2	2	3	7	26	182	1	1	4	1625097600	2021-07-01	July 1st, 2021	01 JUL 2021	Twenty-First	2021-01-01	Second	Second	Third	July	182	1st	First Thursday	Thursday	S2	T2	Q3	Jul	1st Thu	Thu	2021-S2	2021-T2	2021-Q3	2021-07 (Jul)	2021-182	2021-Second Semester	2021-Second Trimester	2021-Third Quarter	2021-07 (July)	2021-W26	2021-W-4	Weekday
20210801	20010101	20210101	20210701	20210501	20210601	20210801	20210726	2021-08-01	2001-01-01	2021-01-01	2021-07-01	2021-05-01	2021-06-01	2021-08-01	2021-07-26	20210801	21	2021	2	2	3	8	30	213	1	1	7	1627776000	2021-08-01	August 1st, 2021	01 AUG 2021	Twenty-First	2021-01-01	Second	Second	Third	August	213	1st	First Sunday	Sunday	S2	T2	Q3	Aug	1st Sun	Sun	2021-S2	2021-T2	2021-Q3	2021-08 (Aug)	2021-213	2021-Second Semester	2021-Second Trimester	2021-Third Quarter	2021-08 (August)	2021-W30	2021-W-7	Weekend
20210901	20010101	20210101	20210701	20210901	20210601	20210901	20210830	2021-09-01	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-06-01	2021-09-01	2021-08-30	20210901	21	2021	2	3	3	9	35	244	1	1	3	1630454400	2021-09-01	September 1st, 2021	01 SEP 2021	Twenty-First	2021-01-01	Second	Third	Third	September	244	1st	First Wednesday	Wednesday	S2	T2	Q3	Sep	1st Wed	Wed	2021-S2	2021-T2	2021-Q3	2021-09 (Sep)	2021-244	2021-Second Semester	2021-Third Trimester	2021-Third Quarter	2021-09 (September)	2021-W35	2021-W-3	Weekday
20211001	20010101	20210101	20210701	20210901	20211001	20211001	20210927	2021-10-01	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-10-01	2021-10-01	2021-09-27	20211001	21	2021	2	3	4	10	39	274	1	1	5	1633046400	2021-10-01	October 1st, 2021	01 OCT 2021	Twenty-First	2021-01-01	Second	Third	Forth	October	274	1st	First Friday	Friday	S2	T2	Q4	Oct	1st Fri	Fri	2021-S2	2021-T2	2021-Q4	2021-10 (Oct)	2021-274	2021-Second Semester	2021-Third Trimester	2021-Forth Quarter	2021-10 (October)	2021-W39	2021-W-5	Weekday
20211101	20010101	20210101	20210701	20210901	20211001	20211101	20211101	2021-11-01	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-10-01	2021-11-01	2021-11-01	20211101	21	2021	2	3	4	11	44	305	1	1	1	1635724800	2021-11-01	November 1st, 2021	01 NOV 2021	Twenty-First	2021-01-01	Second	Third	Forth	November	305	1st	First Monday	Monday	S2	T2	Q4	Nov	1st Mon	Mon	2021-S2	2021-T2	2021-Q4	2021-11 (Nov)	2021-305	2021-Second Semester	2021-Third Trimester	2021-Forth Quarter	2021-11 (November)	2021-W44	2021-W-1	Weekday
20211201	20010101	20210101	20210701	20210901	20211001	20211201	20211129	2021-12-01	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-10-01	2021-12-01	2021-11-29	20211201	21	2021	2	3	4	12	48	335	1	1	3	1638316800	2021-12-01	December 1st, 2021	01 DEC 2021	Twenty-First	2021-01-01	Second	Third	Forth	December	335	1st	First Wednesday	Wednesday	S2	T2	Q4	Dec	1st Wed	Wed	2021-S2	2021-T2	2021-Q4	2021-12 (Dec)	2021-335	2021-Second Semester	2021-Third Trimester	2021-Forth Quarter	2021-12 (December)	2021-W48	2021-W-3	Weekday
20211202	20010101	20210101	20210701	20210901	20211001	20211201	20211129	2021-12-02	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-10-01	2021-12-01	2021-11-29	20211202	21	2021	2	3	4	12	48	336	2	1	4	1638403200	2021-12-02	December 2nd, 2021	02 DEC 2021	Twenty-First	2021-01-01	Second	Third	Forth	December	336	2nd	First Thursday	Thursday	S2	T2	Q4	Dec	1st Thu	Thu	2021-S2	2021-T2	2021-Q4	2021-12 (Dec)	2021-336	2021-Second Semester	2021-Third Trimester	2021-Forth Quarter	2021-12 (December)	2021-W48	2021-W-4	Weekday
20211102	20010101	20210101	20210701	20210901	20211001	20211101	20211101	2021-11-02	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-10-01	2021-11-01	2021-11-01	20211102	21	2021	2	3	4	11	44	306	2	1	2	1635811200	2021-11-02	November 2nd, 2021	02 NOV 2021	Twenty-First	2021-01-01	Second	Third	Forth	November	306	2nd	First Tuesday	Tuesday	S2	T2	Q4	Nov	1st Tue	Tue	2021-S2	2021-T2	2021-Q4	2021-11 (Nov)	2021-306	2021-Second Semester	2021-Third Trimester	2021-Forth Quarter	2021-11 (November)	2021-W44	2021-W-2	Weekday
20211002	20010101	20210101	20210701	20210901	20211001	20211001	20210927	2021-10-02	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-10-01	2021-10-01	2021-09-27	20211002	21	2021	2	3	4	10	39	275	2	1	6	1633132800	2021-10-02	October 2nd, 2021	02 OCT 2021	Twenty-First	2021-01-01	Second	Third	Forth	October	275	2nd	First Saturday	Saturday	S2	T2	Q4	Oct	1st Sat	Sat	2021-S2	2021-T2	2021-Q4	2021-10 (Oct)	2021-275	2021-Second Semester	2021-Third Trimester	2021-Forth Quarter	2021-10 (October)	2021-W39	2021-W-6	Weekend
20210902	20010101	20210101	20210701	20210901	20210601	20210901	20210830	2021-09-02	2001-01-01	2021-01-01	2021-07-01	2021-09-01	2021-06-01	2021-09-01	2021-08-30	20210902	21	2021	2	3	3	9	35	245	2	1	4	1630540800	2021-09-02	September 2nd, 2021	02 SEP 2021	Twenty-First	2021-01-01	Second	Third	Third	September	245	2nd	First Thursday	Thursday	S2	T2	Q3	Sep	1st Thu	Thu	2021-S2	2021-T2	2021-Q3	2021-09 (Sep)	2021-245	2021-Second Semester	2021-Third Trimester	2021-Third Quarter	2021-09 (September)	2021-W35	2021-W-4	Weekday
20210802	20010101	20210101	20210701	20210501	20210601	20210801	20210802	2021-08-02	2001-01-01	2021-01-01	2021-07-01	2021-05-01	2021-06-01	2021-08-01	2021-08-02	20210802	21	2021	2	2	3	8	31	214	2	1	1	1627862400	2021-08-02	August 2nd, 2021	02 AUG 2021	Twenty-First	2021-01-01	Second	Second	Third	August	214	2nd	First Monday	Monday	S2	T2	Q3	Aug	1st Mon	Mon	2021-S2	2021-T2	2021-Q3	2021-08 (Aug)	2021-214	2021-Second Semester	2021-Second Trimester	2021-Third Quarter	2021-08 (August)	2021-W31	2021-W-1	Weekday
20210702	20010101	20210101	20210701	20210501	20210601	20210701	20210628	2021-07-02	2001-01-01	2021-01-01	2021-07-01	2021-05-01	2021-06-01	2021-07-01	2021-06-28	20210702	21	2021	2	2	3	7	26	183	2	1	5	1625184000	2021-07-02	July 2nd, 2021	02 JUL 2021	Twenty-First	2021-01-01	Second	Second	Third	July	183	2nd	First Friday	Friday	S2	T2	Q3	Jul	1st Fri	Fri	2021-S2	2021-T2	2021-Q3	2021-07 (Jul)	2021-183	2021-Second Semester	2021-Second Trimester	2021-Third Quarter	2021-07 (July)	2021-W26	2021-W-5	Weekday
20210602	20010101	20210101	20210101	20210501	20210401	20210601	20210531	2021-06-02	2001-01-01	2021-01-01	2021-01-01	2021-05-01	2021-04-01	2021-06-01	2021-05-31	20210602	21	2021	1	2	2	6	22	153	2	1	3	1622592000	2021-06-02	June 2nd, 2021	02 JUN 2021	Twenty-First	2021-01-01	First	Second	Second	June	153	2nd	First Wednesday	Wednesday	S1	T1	Q2	Jun	1st Wed	Wed	2021-S1	2021-T1	2021-Q2	2021-06 (Jun)	2021-153	2021-First Semester	2021-Second Trimester	2021-Second Quarter	2021-06 (June)	2021-W22	2021-W-3	Weekday
20210502	20010101	20210101	20210101	20210501	20210401	20210501	20210426	2021-05-02	2001-01-01	2021-01-01	2021-01-01	2021-05-01	2021-04-01	2021-05-01	2021-04-26	20210502	21	2021	1	2	2	5	17	122	2	1	7	1619913600	2021-05-02	May 2nd, 2021	02 MAY 2021	Twenty-First	2021-01-01	First	Second	Second	May	122	2nd	First Sunday	Sunday	S1	T1	Q2	May	1st Sun	Sun	2021-S1	2021-T1	2021-Q2	2021-05 (May)	2021-122	2021-First Semester	2021-Second Trimester	2021-Second Quarter	2021-05 (May)	2021-W17	2021-W-7	Weekend
20210402	20010101	20210101	20210101	20210101	20210401	20210401	20210329	2021-04-02	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-04-01	2021-04-01	2021-03-29	20210402	21	2021	1	1	2	4	13	92	2	1	5	1617321600	2021-04-02	April 2nd, 2021	02 APR 2021	Twenty-First	2021-01-01	First	First	Second	April	092	2nd	First Friday	Friday	S1	T1	Q2	Apr	1st Fri	Fri	2021-S1	2021-T1	2021-Q2	2021-04 (Apr)	2021-092	2021-First Semester	2021-First Trimester	2021-Second Quarter	2021-04 (April)	2021-W13	2021-W-5	Weekday
20210302	20010101	20210101	20210101	20210101	20210101	20210301	20210301	2021-03-02	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2021-03-01	2021-03-01	20210302	21	2021	1	1	1	3	9	61	2	1	2	1614643200	2021-03-02	March 2nd, 2021	02 MAR 2021	Twenty-First	2021-01-01	First	First	First	March	061	2nd	First Tuesday	Tuesday	S1	T1	Q1	Mar	1st Tue	Tue	2021-S1	2021-T1	2021-Q1	2021-03 (Mar)	2021-061	2021-First Semester	2021-First Trimester	2021-First Quarter	2021-03 (March)	2021-W09	2021-W-2	Weekday
20210202	20010101	20210101	20210101	20210101	20210101	20210201	20210201	2021-02-02	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2021-02-01	2021-02-01	20210202	21	2021	1	1	1	2	5	33	2	1	2	1612224000	2021-02-02	February 2nd, 2021	02 FEB 2021	Twenty-First	2021-01-01	First	First	First	February	033	2nd	First Tuesday	Tuesday	S1	T1	Q1	Feb	1st Tue	Tue	2021-S1	2021-T1	2021-Q1	2021-02 (Feb)	2021-033	2021-First Semester	2021-First Trimester	2021-First Quarter	2021-02 (February)	2021-W05	2021-W-2	Weekday
20210102	20010101	20210101	20210101	20210101	20210101	20210101	20201228	2021-01-02	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2020-12-28	20210102	21	2021	1	1	1	1	53	2	2	1	6	1609545600	2021-01-02	January 2nd, 2021	02 JAN 2021	Twenty-First	2021-01-01	First	First	First	January	002	2nd	First Saturday	Saturday	S1	T1	Q1	Jan	1st Sat	Sat	2021-S1	2021-T1	2021-Q1	2021-01 (Jan)	2021-002	2021-First Semester	2021-First Trimester	2021-First Quarter	2021-01 (January)	2020-W53	2020-W-6	Weekend
20210103	20010101	20210101	20210101	20210101	20210101	20210101	20201228	2021-01-03	2001-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2021-01-01	2020-12-28	20210103	21	2021	1	1	1	1	53	3	3	1	7	1609632000	2021-01-03	January 3rd, 2021	03 JAN 2021	Twenty-First	2021-01-01	First	First	First	January	003	3rd	First Sunday	Sunday	S1	T1	Q1	Jan	1st Sun	Sun	2021-S1	2021-T1	2021-Q1	2021-01 (Jan)	2021-003	2021-First Semester	2021-First Trimester	2021-First Quarter	2021-01 (January)	2020-W53	2020-W-7	Weekend
