DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
11810101	11010101	11810101	11810101	11810101	11810101	11810101	11801229	1181-01-01	1101-01-01	1181-01-01	1181-01-01	1181-01-01	1181-01-01	1181-01-01	1180-12-29	11810101	12	1181	1	1	1	1	1	1	1	1	4	-24898406400	1181-01-01	January 1st, 1181	01 JAN 1181	Twelfth	1181-01-01	First	First	First	January	001	1st	First Thursday	Thursday	S1	T1	Q1	Jan	1st Thu	Thu	1181-S1	1181-T1	1181-Q1	1181-01 (Jan)	1181-001	1181-First Semester	1181-First Trimester	1181-First Quarter	1181-01 (January)	1180-W01	1180-W-4	Weekday
11810201	11010101	11810101	11810101	11810101	11810101	11810201	11810126	1181-02-01	1101-01-01	1181-01-01	1181-01-01	1181-01-01	1181-01-01	1181-02-01	1181-01-26	11810201	12	1181	1	1	1	2	5	32	1	1	7	-24895728000	1181-02-01	February 1st, 1181	01 FEB 1181	Twelfth	1181-01-01	First	First	First	February	032	1st	First Sunday	Sunday	S1	T1	Q1	Feb	1st Sun	Sun	1181-S1	1181-T1	1181-Q1	1181-02 (Feb)	1181-032	1181-First Semester	1181-First Trimester	1181-First Quarter	1181-02 (February)	1181-W05	1181-W-7	Weekend
11810301	11010101	11810101	11810101	11810101	11810101	11810301	11810223	1181-03-01	1101-01-01	1181-01-01	1181-01-01	1181-01-01	1181-01-01	1181-03-01	1181-02-23	11810301	12	1181	1	1	1	3	9	60	1	1	7	-24893308800	1181-03-01	March 1st, 1181	01 MAR 1181	Twelfth	1181-01-01	First	First	First	March	060	1st	First Sunday	Sunday	S1	T1	Q1	Mar	1st Sun	Sun	1181-S1	1181-T1	1181-Q1	1181-03 (Mar)	1181-060	1181-First Semester	1181-First Trimester	1181-First Quarter	1181-03 (March)	1181-W09	1181-W-7	Weekend
11810401	11010101	11810101	11810101	11810101	11810401	11810401	11810330	1181-04-01	1101-01-01	1181-01-01	1181-01-01	1181-01-01	1181-04-01	1181-04-01	1181-03-30	11810401	12	1181	1	1	2	4	14	91	1	1	3	-24890630400	1181-04-01	April 1st, 1181	01 APR 1181	Twelfth	1181-01-01	First	First	Second	April	091	1st	First Wednesday	Wednesday	S1	T1	Q2	Apr	1st Wed	Wed	1181-S1	1181-T1	1181-Q2	1181-04 (Apr)	1181-091	1181-First Semester	1181-First Trimester	1181-Second Quarter	1181-04 (April)	1181-W14	1181-W-3	Weekday
11810501	11010101	11810101	11810101	11810501	11810401	11810501	11810427	1181-05-01	1101-01-01	1181-01-01	1181-01-01	1181-05-01	1181-04-01	1181-05-01	1181-04-27	11810501	12	1181	1	2	2	5	18	121	1	1	5	-24888038400	1181-05-01	May 1st, 1181	01 MAY 1181	Twelfth	1181-01-01	First	Second	Second	May	121	1st	First Friday	Friday	S1	T1	Q2	May	1st Fri	Fri	1181-S1	1181-T1	1181-Q2	1181-05 (May)	1181-121	1181-First Semester	1181-Second Trimester	1181-Second Quarter	1181-05 (May)	1181-W18	1181-W-5	Weekday
11810601	11010101	11810101	11810101	11810501	11810401	11810601	11810601	1181-06-01	1101-01-01	1181-01-01	1181-01-01	1181-05-01	1181-04-01	1181-06-01	1181-06-01	11810601	12	1181	1	2	2	6	23	152	1	1	1	-24885360000	1181-06-01	June 1st, 1181	01 JUN 1181	Twelfth	1181-01-01	First	Second	Second	June	152	1st	First Monday	Monday	S1	T1	Q2	Jun	1st Mon	Mon	1181-S1	1181-T1	1181-Q2	1181-06 (Jun)	1181-152	1181-First Semester	1181-Second Trimester	1181-Second Quarter	1181-06 (June)	1181-W23	1181-W-1	Weekday
11810701	11010101	11810101	11810701	11810501	11810601	11810701	11810629	1181-07-01	1101-01-01	1181-01-01	1181-07-01	1181-05-01	1181-06-01	1181-07-01	1181-06-29	11810701	12	1181	2	2	3	7	27	182	1	1	3	-24882768000	1181-07-01	July 1st, 1181	01 JUL 1181	Twelfth	1181-01-01	Second	Second	Third	July	182	1st	First Wednesday	Wednesday	S2	T2	Q3	Jul	1st Wed	Wed	1181-S2	1181-T2	1181-Q3	1181-07 (Jul)	1181-182	1181-Second Semester	1181-Second Trimester	1181-Third Quarter	1181-07 (July)	1181-W27	1181-W-3	Weekday
11810801	11010101	11810101	11810701	11810501	11810601	11810801	11810727	1181-08-01	1101-01-01	1181-01-01	1181-07-01	1181-05-01	1181-06-01	1181-08-01	1181-07-27	11810801	12	1181	2	2	3	8	31	213	1	1	6	-24880089600	1181-08-01	August 1st, 1181	01 AUG 1181	Twelfth	1181-01-01	Second	Second	Third	August	213	1st	First Saturday	Saturday	S2	T2	Q3	Aug	1st Sat	Sat	1181-S2	1181-T2	1181-Q3	1181-08 (Aug)	1181-213	1181-Second Semester	1181-Second Trimester	1181-Third Quarter	1181-08 (August)	1181-W31	1181-W-6	Weekend
11810901	11010101	11810101	11810701	11810901	11810601	11810901	11810831	1181-09-01	1101-01-01	1181-01-01	1181-07-01	1181-09-01	1181-06-01	1181-09-01	1181-08-31	11810901	12	1181	2	3	3	9	36	244	1	1	2	-24877411200	1181-09-01	September 1st, 1181	01 SEP 1181	Twelfth	1181-01-01	Second	Third	Third	September	244	1st	First Tuesday	Tuesday	S2	T2	Q3	Sep	1st Tue	Tue	1181-S2	1181-T2	1181-Q3	1181-09 (Sep)	1181-244	1181-Second Semester	1181-Third Trimester	1181-Third Quarter	1181-09 (September)	1181-W36	1181-W-2	Weekday
11811001	11010101	11810101	11810701	11810901	11811001	11811001	11810928	1181-10-01	1101-01-01	1181-01-01	1181-07-01	1181-09-01	1181-10-01	1181-10-01	1181-09-28	11811001	12	1181	2	3	4	10	40	274	1	1	4	-24874819200	1181-10-01	October 1st, 1181	01 OCT 1181	Twelfth	1181-01-01	Second	Third	Forth	October	274	1st	First Thursday	Thursday	S2	T2	Q4	Oct	1st Thu	Thu	1181-S2	1181-T2	1181-Q4	1181-10 (Oct)	1181-274	1181-Second Semester	1181-Third Trimester	1181-Forth Quarter	1181-10 (October)	1181-W40	1181-W-4	Weekday
