DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
11830101	11010101	11830101	11830101	11830101	11830101	11830101	11821227	1183-01-01	1101-01-01	1183-01-01	1183-01-01	1183-01-01	1183-01-01	1183-01-01	1182-12-27	11830101	12	1183	1	1	1	1	52	1	1	1	6	-24835334400	1183-01-01	January 1st, 1183	01 JAN 1183	Twelfth	1183-01-01	First	First	First	January	001	1st	First Saturday	Saturday	S1	T1	Q1	Jan	1st Sat	Sat	1183-S1	1183-T1	1183-Q1	1183-01 (Jan)	1183-001	1183-First Semester	1183-First Trimester	1183-First Quarter	1183-01 (January)	1182-W52	1182-W-6	Weekend
11830201	11010101	11830101	11830101	11830101	11830101	11830201	11830131	1183-02-01	1101-01-01	1183-01-01	1183-01-01	1183-01-01	1183-01-01	1183-02-01	1183-01-31	11830201	12	1183	1	1	1	2	5	32	1	1	2	-24832656000	1183-02-01	February 1st, 1183	01 FEB 1183	Twelfth	1183-01-01	First	First	First	February	032	1st	First Tuesday	Tuesday	S1	T1	Q1	Feb	1st Tue	Tue	1183-S1	1183-T1	1183-Q1	1183-02 (Feb)	1183-032	1183-First Semester	1183-First Trimester	1183-First Quarter	1183-02 (February)	1183-W05	1183-W-2	Weekday
11830301	11010101	11830101	11830101	11830101	11830101	11830301	11830228	1183-03-01	1101-01-01	1183-01-01	1183-01-01	1183-01-01	1183-01-01	1183-03-01	1183-02-28	11830301	12	1183	1	1	1	3	9	60	1	1	2	-24830236800	1183-03-01	March 1st, 1183	01 MAR 1183	Twelfth	1183-01-01	First	First	First	March	060	1st	First Tuesday	Tuesday	S1	T1	Q1	Mar	1st Tue	Tue	1183-S1	1183-T1	1183-Q1	1183-03 (Mar)	1183-060	1183-First Semester	1183-First Trimester	1183-First Quarter	1183-03 (March)	1183-W09	1183-W-2	Weekday
11830401	11010101	11830101	11830101	11830101	11830401	11830401	11830328	1183-04-01	1101-01-01	1183-01-01	1183-01-01	1183-01-01	1183-04-01	1183-04-01	1183-03-28	11830401	12	1183	1	1	2	4	13	91	1	1	5	-24827558400	1183-04-01	April 1st, 1183	01 APR 1183	Twelfth	1183-01-01	First	First	Second	April	091	1st	First Friday	Friday	S1	T1	Q2	Apr	1st Fri	Fri	1183-S1	1183-T1	1183-Q2	1183-04 (Apr)	1183-091	1183-First Semester	1183-First Trimester	1183-Second Quarter	1183-04 (April)	1183-W13	1183-W-5	Weekday
11830501	11010101	11830101	11830101	11830501	11830401	11830501	11830425	1183-05-01	1101-01-01	1183-01-01	1183-01-01	1183-05-01	1183-04-01	1183-05-01	1183-04-25	11830501	12	1183	1	2	2	5	17	121	1	1	7	-24824966400	1183-05-01	May 1st, 1183	01 MAY 1183	Twelfth	1183-01-01	First	Second	Second	May	121	1st	First Sunday	Sunday	S1	T1	Q2	May	1st Sun	Sun	1183-S1	1183-T1	1183-Q2	1183-05 (May)	1183-121	1183-First Semester	1183-Second Trimester	1183-Second Quarter	1183-05 (May)	1183-W17	1183-W-7	Weekend
11830601	11010101	11830101	11830101	11830501	11830401	11830601	11830530	1183-06-01	1101-01-01	1183-01-01	1183-01-01	1183-05-01	1183-04-01	1183-06-01	1183-05-30	11830601	12	1183	1	2	2	6	22	152	1	1	3	-24822288000	1183-06-01	June 1st, 1183	01 JUN 1183	Twelfth	1183-01-01	First	Second	Second	June	152	1st	First Wednesday	Wednesday	S1	T1	Q2	Jun	1st Wed	Wed	1183-S1	1183-T1	1183-Q2	1183-06 (Jun)	1183-152	1183-First Semester	1183-Second Trimester	1183-Second Quarter	1183-06 (June)	1183-W22	1183-W-3	Weekday
11830701	11010101	11830101	11830701	11830501	11830601	11830701	11830627	1183-07-01	1101-01-01	1183-01-01	1183-07-01	1183-05-01	1183-06-01	1183-07-01	1183-06-27	11830701	12	1183	2	2	3	7	26	182	1	1	5	-24819696000	1183-07-01	July 1st, 1183	01 JUL 1183	Twelfth	1183-01-01	Second	Second	Third	July	182	1st	First Friday	Friday	S2	T2	Q3	Jul	1st Fri	Fri	1183-S2	1183-T2	1183-Q3	1183-07 (Jul)	1183-182	1183-Second Semester	1183-Second Trimester	1183-Third Quarter	1183-07 (July)	1183-W26	1183-W-5	Weekday
11830801	11010101	11830101	11830701	11830501	11830601	11830801	11830801	1183-08-01	1101-01-01	1183-01-01	1183-07-01	1183-05-01	1183-06-01	1183-08-01	1183-08-01	11830801	12	1183	2	2	3	8	31	213	1	1	1	-24817017600	1183-08-01	August 1st, 1183	01 AUG 1183	Twelfth	1183-01-01	Second	Second	Third	August	213	1st	First Monday	Monday	S2	T2	Q3	Aug	1st Mon	Mon	1183-S2	1183-T2	1183-Q3	1183-08 (Aug)	1183-213	1183-Second Semester	1183-Second Trimester	1183-Third Quarter	1183-08 (August)	1183-W31	1183-W-1	Weekday
11830901	11010101	11830101	11830701	11830901	11830601	11830901	11830829	1183-09-01	1101-01-01	1183-01-01	1183-07-01	1183-09-01	1183-06-01	1183-09-01	1183-08-29	11830901	12	1183	2	3	3	9	35	244	1	1	4	-24814339200	1183-09-01	September 1st, 1183	01 SEP 1183	Twelfth	1183-01-01	Second	Third	Third	September	244	1st	First Thursday	Thursday	S2	T2	Q3	Sep	1st Thu	Thu	1183-S2	1183-T2	1183-Q3	1183-09 (Sep)	1183-244	1183-Second Semester	1183-Third Trimester	1183-Third Quarter	1183-09 (September)	1183-W35	1183-W-4	Weekday
11831001	11010101	11830101	11830701	11830901	11831001	11831001	11830926	1183-10-01	1101-01-01	1183-01-01	1183-07-01	1183-09-01	1183-10-01	1183-10-01	1183-09-26	11831001	12	1183	2	3	4	10	39	274	1	1	6	-24811747200	1183-10-01	October 1st, 1183	01 OCT 1183	Twelfth	1183-01-01	Second	Third	Forth	October	274	1st	First Saturday	Saturday	S2	T2	Q4	Oct	1st Sat	Sat	1183-S2	1183-T2	1183-Q4	1183-10 (Oct)	1183-274	1183-Second Semester	1183-Third Trimester	1183-Forth Quarter	1183-10 (October)	1183-W39	1183-W-6	Weekend
