DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
11800101	11010101	11800101	11800101	11800101	11800101	11800101	11791231	1180-01-01	1101-01-01	1180-01-01	1180-01-01	1180-01-01	1180-01-01	1180-01-01	1179-12-31	11800101	12	1180	1	1	1	1	1	1	1	1	2	-24930028800	1180-01-01	January 1st, 1180	01 JAN 1180	Twelfth	1180-01-01	First	First	First	January	001	1st	First Tuesday	Tuesday	S1	T1	Q1	Jan	1st Tue	Tue	1180-S1	1180-T1	1180-Q1	1180-01 (Jan)	1180-001	1180-First Semester	1180-First Trimester	1180-First Quarter	1180-01 (January)	1179-W01	1179-W-2	Weekday
11800201	11010101	11800101	11800101	11800101	11800101	11800201	11800128	1180-02-01	1101-01-01	1180-01-01	1180-01-01	1180-01-01	1180-01-01	1180-02-01	1180-01-28	11800201	12	1180	1	1	1	2	5	32	1	1	5	-24927350400	1180-02-01	February 1st, 1180	01 FEB 1180	Twelfth	1180-01-01	First	First	First	February	032	1st	First Friday	Friday	S1	T1	Q1	Feb	1st Fri	Fri	1180-S1	1180-T1	1180-Q1	1180-02 (Feb)	1180-032	1180-First Semester	1180-First Trimester	1180-First Quarter	1180-02 (February)	1180-W05	1180-W-5	Weekday
11800301	11010101	11800101	11800101	11800101	11800101	11800301	11800225	1180-03-01	1101-01-01	1180-01-01	1180-01-01	1180-01-01	1180-01-01	1180-03-01	1180-02-25	11800301	12	1180	1	1	1	3	9	61	1	1	6	-24924844800	1180-03-01	March 1st, 1180	01 MAR 1180	Twelfth	1180-01-01	First	First	First	March	061	1st	First Saturday	Saturday	S1	T1	Q1	Mar	1st Sat	Sat	1180-S1	1180-T1	1180-Q1	1180-03 (Mar)	1180-061	1180-First Semester	1180-First Trimester	1180-First Quarter	1180-03 (March)	1180-W09	1180-W-6	Weekend
11800401	11010101	11800101	11800101	11800101	11800401	11800401	11800331	1180-04-01	1101-01-01	1180-01-01	1180-01-01	1180-01-01	1180-04-01	1180-04-01	1180-03-31	11800401	12	1180	1	1	2	4	14	92	1	1	2	-24922166400	1180-04-01	April 1st, 1180	01 APR 1180	Twelfth	1180-01-01	First	First	Second	April	092	1st	First Tuesday	Tuesday	S1	T1	Q2	Apr	1st Tue	Tue	1180-S1	1180-T1	1180-Q2	1180-04 (Apr)	1180-092	1180-First Semester	1180-First Trimester	1180-Second Quarter	1180-04 (April)	1180-W14	1180-W-2	Weekday
11800501	11010101	11800101	11800101	11800501	11800401	11800501	11800428	1180-05-01	1101-01-01	1180-01-01	1180-01-01	1180-05-01	1180-04-01	1180-05-01	1180-04-28	11800501	12	1180	1	2	2	5	18	122	1	1	4	-24919574400	1180-05-01	May 1st, 1180	01 MAY 1180	Twelfth	1180-01-01	First	Second	Second	May	122	1st	First Thursday	Thursday	S1	T1	Q2	May	1st Thu	Thu	1180-S1	1180-T1	1180-Q2	1180-05 (May)	1180-122	1180-First Semester	1180-Second Trimester	1180-Second Quarter	1180-05 (May)	1180-W18	1180-W-4	Weekday
11800601	11010101	11800101	11800101	11800501	11800401	11800601	11800526	1180-06-01	1101-01-01	1180-01-01	1180-01-01	1180-05-01	1180-04-01	1180-06-01	1180-05-26	11800601	12	1180	1	2	2	6	22	153	1	1	7	-24916896000	1180-06-01	June 1st, 1180	01 JUN 1180	Twelfth	1180-01-01	First	Second	Second	June	153	1st	First Sunday	Sunday	S1	T1	Q2	Jun	1st Sun	Sun	1180-S1	1180-T1	1180-Q2	1180-06 (Jun)	1180-153	1180-First Semester	1180-Second Trimester	1180-Second Quarter	1180-06 (June)	1180-W22	1180-W-7	Weekend
11800701	11010101	11800101	11800701	11800501	11800601	11800701	11800630	1180-07-01	1101-01-01	1180-01-01	1180-07-01	1180-05-01	1180-06-01	1180-07-01	1180-06-30	11800701	12	1180	2	2	3	7	27	183	1	1	2	-24914304000	1180-07-01	July 1st, 1180	01 JUL 1180	Twelfth	1180-01-01	Second	Second	Third	July	183	1st	First Tuesday	Tuesday	S2	T2	Q3	Jul	1st Tue	Tue	1180-S2	1180-T2	1180-Q3	1180-07 (Jul)	1180-183	1180-Second Semester	1180-Second Trimester	1180-Third Quarter	1180-07 (July)	1180-W27	1180-W-2	Weekday
11800801	11010101	11800101	11800701	11800501	11800601	11800801	11800728	1180-08-01	1101-01-01	1180-01-01	1180-07-01	1180-05-01	1180-06-01	1180-08-01	1180-07-28	11800801	12	1180	2	2	3	8	31	214	1	1	5	-24911625600	1180-08-01	August 1st, 1180	01 AUG 1180	Twelfth	1180-01-01	Second	Second	Third	August	214	1st	First Friday	Friday	S2	T2	Q3	Aug	1st Fri	Fri	1180-S2	1180-T2	1180-Q3	1180-08 (Aug)	1180-214	1180-Second Semester	1180-Second Trimester	1180-Third Quarter	1180-08 (August)	1180-W31	1180-W-5	Weekday
11800901	11010101	11800101	11800701	11800901	11800601	11800901	11800901	1180-09-01	1101-01-01	1180-01-01	1180-07-01	1180-09-01	1180-06-01	1180-09-01	1180-09-01	11800901	12	1180	2	3	3	9	36	245	1	1	1	-24908947200	1180-09-01	September 1st, 1180	01 SEP 1180	Twelfth	1180-01-01	Second	Third	Third	September	245	1st	First Monday	Monday	S2	T2	Q3	Sep	1st Mon	Mon	1180-S2	1180-T2	1180-Q3	1180-09 (Sep)	1180-245	1180-Second Semester	1180-Third Trimester	1180-Third Quarter	1180-09 (September)	1180-W36	1180-W-1	Weekday
11801001	11010101	11800101	11800701	11800901	11801001	11801001	11800929	1180-10-01	1101-01-01	1180-01-01	1180-07-01	1180-09-01	1180-10-01	1180-10-01	1180-09-29	11801001	12	1180	2	3	4	10	40	275	1	1	3	-24906355200	1180-10-01	October 1st, 1180	01 OCT 1180	Twelfth	1180-01-01	Second	Third	Forth	October	275	1st	First Wednesday	Wednesday	S2	T2	Q4	Oct	1st Wed	Wed	1180-S2	1180-T2	1180-Q4	1180-10 (Oct)	1180-275	1180-Second Semester	1180-Third Trimester	1180-Forth Quarter	1180-10 (October)	1180-W40	1180-W-3	Weekday
11801101	11010101	11800101	11800701	11800901	11801001	11801101	11801027	1180-11-01	1101-01-01	1180-01-01	1180-07-01	1180-09-01	1180-10-01	1180-11-01	1180-10-27	11801101	12	1180	2	3	4	11	44	306	1	1	6	-24903676800	1180-11-01	November 1st, 1180	01 NOV 1180	Twelfth	1180-01-01	Second	Third	Forth	November	306	1st	First Saturday	Saturday	S2	T2	Q4	Nov	1st Sat	Sat	1180-S2	1180-T2	1180-Q4	1180-11 (Nov)	1180-306	1180-Second Semester	1180-Third Trimester	1180-Forth Quarter	1180-11 (November)	1180-W44	1180-W-6	Weekend
