Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
1187-01-01	11870101	11870101	1187-01-01	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1186-12-29	11861229	1	1186-W01	Thursday	001	01
1187-01-02	11870102	11870102	1187-01-02	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1186-12-29	11861229	1	1186-W01	Friday	002	02
1187-01-03	11870103	11870103	1187-01-03	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1186-12-29	11861229	1	1186-W01	Saturday	003	03
1187-01-04	11870104	11870104	1187-01-04	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1186-12-29	11861229	1	1186-W01	Sunday	004	04
1187-01-05	11870105	11870105	1187-01-05	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-05	11870105	2	1187-W02	Monday	005	05
1187-01-06	11870106	11870106	1187-01-06	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-05	11870105	2	1187-W02	Tuesday	006	06
1187-01-07	11870107	11870107	1187-01-07	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-05	11870105	2	1187-W02	Wednesday	007	07
1187-01-08	11870108	11870108	1187-01-08	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-05	11870105	2	1187-W02	Thursday	008	08
1187-01-09	11870109	11870109	1187-01-09	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-05	11870105	2	1187-W02	Friday	009	09
1187-01-10	11870110	11870110	1187-01-10	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-05	11870105	2	1187-W02	Saturday	010	10
1187-01-11	11870111	11870111	1187-01-11	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-05	11870105	2	1187-W02	Sunday	011	11
1187-01-12	11870112	11870112	1187-01-12	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-12	11870112	3	1187-W03	Monday	012	12
1187-01-13	11870113	11870113	1187-01-13	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-12	11870112	3	1187-W03	Tuesday	013	13
1187-01-14	11870114	11870114	1187-01-14	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-12	11870112	3	1187-W03	Wednesday	014	14
1187-01-15	11870115	11870115	1187-01-15	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-12	11870112	3	1187-W03	Thursday	015	15
1187-01-16	11870116	11870116	1187-01-16	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-12	11870112	3	1187-W03	Friday	016	16
1187-01-17	11870117	11870117	1187-01-17	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-12	11870112	3	1187-W03	Saturday	017	17
1187-01-18	11870118	11870118	1187-01-18	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-12	11870112	3	1187-W03	Sunday	018	18
1187-01-19	11870119	11870119	1187-01-19	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-19	11870119	4	1187-W04	Monday	019	19
1187-01-20	11870120	11870120	1187-01-20	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-19	11870119	4	1187-W04	Tuesday	020	20
1187-01-21	11870121	11870121	1187-01-21	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-19	11870119	4	1187-W04	Wednesday	021	21
1187-01-22	11870122	11870122	1187-01-22	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-19	11870119	4	1187-W04	Thursday	022	22
1187-01-23	11870123	11870123	1187-01-23	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-19	11870119	4	1187-W04	Friday	023	23
1187-01-24	11870124	11870124	1187-01-24	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-19	11870119	4	1187-W04	Saturday	024	24
1187-01-25	11870125	11870125	1187-01-25	1101-01-01	11010101	12	12th	1187-01-01	11870101	1187	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-01	11870101	1	1187-01-01	1187-01-19	11870119	4	1187-W04	Sunday	025	25
