Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
1307-01-01	13070101	13070101	1307-01-01	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1306-12-27	13061227	52	1306-W52	Saturday	001	01
1307-01-02	13070102	13070102	1307-01-02	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1306-12-27	13061227	52	1306-W52	Sunday	002	02
1307-01-03	13070103	13070103	1307-01-03	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-03	13070103	1	1307-W01	Monday	003	03
1307-01-04	13070104	13070104	1307-01-04	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-03	13070103	1	1307-W01	Tuesday	004	04
1307-01-05	13070105	13070105	1307-01-05	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-03	13070103	1	1307-W01	Wednesday	005	05
1307-01-06	13070106	13070106	1307-01-06	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-03	13070103	1	1307-W01	Thursday	006	06
1307-01-07	13070107	13070107	1307-01-07	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-03	13070103	1	1307-W01	Friday	007	07
1307-01-08	13070108	13070108	1307-01-08	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-03	13070103	1	1307-W01	Saturday	008	08
1307-01-09	13070109	13070109	1307-01-09	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-03	13070103	1	1307-W01	Sunday	009	09
1307-01-10	13070110	13070110	1307-01-10	1301-01-01	13010101	14	14th	1307-01-01	13070101	1307	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-01	13070101	1	1307-01-01	1307-01-10	13070110	2	1307-W02	Monday	010	10
