Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
0059-01-01	590101	590101	0059-01-01	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0058-12-30	581230	1	0058-W01	Wednesday	001	01
0059-01-02	590102	590102	0059-01-02	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0058-12-30	581230	1	0058-W01	Thursday	002	02
0059-01-03	590103	590103	0059-01-03	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0058-12-30	581230	1	0058-W01	Friday	003	03
0059-01-04	590104	590104	0059-01-04	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0058-12-30	581230	1	0058-W01	Saturday	004	04
0059-01-05	590105	590105	0059-01-05	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0058-12-30	581230	1	0058-W01	Sunday	005	05
0059-01-06	590106	590106	0059-01-06	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-06	590106	2	0059-W02	Monday	006	06
0059-01-07	590107	590107	0059-01-07	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-06	590106	2	0059-W02	Tuesday	007	07
0059-01-08	590108	590108	0059-01-08	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-06	590106	2	0059-W02	Wednesday	008	08
0059-01-09	590109	590109	0059-01-09	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-06	590106	2	0059-W02	Thursday	009	09
0059-01-10	590110	590110	0059-01-10	0001-01-01	10101	1	1st	0059-01-01	590101	59	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-01	590101	1	0059-01-01	0059-01-06	590106	2	0059-W02	Friday	010	10
