DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
620101	10101	620101	620101	620101	620101	620101	611226	0062-01-01	0001-01-01	0062-01-01	0062-01-01	0062-01-01	0062-01-01	0062-01-01	0061-12-26	620101	1	62	1	1	1	1	52	1	1	1	7	-60210604800	0062-01-01	January 1st, 0062	01 JAN 0062	First	0062-01-01	First	First	First	January	001	1st	First Sunday	Sunday	S1	T1	Q1	Jan	1st Sun	Sun	0062-S1	0062-T1	0062-Q1	0062-01 (Jan)	0062-001	0062-First Semester	0062-First Trimester	0062-First Quarter	0062-01 (January)	0061-W52	0061-W-7	Weekend
620201	10101	620101	620101	620101	620101	620201	620130	0062-02-01	0001-01-01	0062-01-01	0062-01-01	0062-01-01	0062-01-01	0062-02-01	0062-01-30	620201	1	62	1	1	1	2	5	32	1	1	3	-60207926400	0062-02-01	February 1st, 0062	01 FEB 0062	First	0062-01-01	First	First	First	February	032	1st	First Wednesday	Wednesday	S1	T1	Q1	Feb	1st Wed	Wed	0062-S1	0062-T1	0062-Q1	0062-02 (Feb)	0062-032	0062-First Semester	0062-First Trimester	0062-First Quarter	0062-02 (February)	0062-W05	0062-W-3	Weekday
620301	10101	620101	620101	620101	620101	620301	620227	0062-03-01	0001-01-01	0062-01-01	0062-01-01	0062-01-01	0062-01-01	0062-03-01	0062-02-27	620301	1	62	1	1	1	3	9	60	1	1	3	-60205507200	0062-03-01	March 1st, 0062	01 MAR 0062	First	0062-01-01	First	First	First	March	060	1st	First Wednesday	Wednesday	S1	T1	Q1	Mar	1st Wed	Wed	0062-S1	0062-T1	0062-Q1	0062-03 (Mar)	0062-060	0062-First Semester	0062-First Trimester	0062-First Quarter	0062-03 (March)	0062-W09	0062-W-3	Weekday
620401	10101	620101	620101	620101	620401	620401	620327	0062-04-01	0001-01-01	0062-01-01	0062-01-01	0062-01-01	0062-04-01	0062-04-01	0062-03-27	620401	1	62	1	1	2	4	13	91	1	1	6	-60202828800	0062-04-01	April 1st, 0062	01 APR 0062	First	0062-01-01	First	First	Second	April	091	1st	First Saturday	Saturday	S1	T1	Q2	Apr	1st Sat	Sat	0062-S1	0062-T1	0062-Q2	0062-04 (Apr)	0062-091	0062-First Semester	0062-First Trimester	0062-Second Quarter	0062-04 (April)	0062-W13	0062-W-6	Weekend
620501	10101	620101	620101	620501	620401	620501	620501	0062-05-01	0001-01-01	0062-01-01	0062-01-01	0062-05-01	0062-04-01	0062-05-01	0062-05-01	620501	1	62	1	2	2	5	18	121	1	1	1	-60200236800	0062-05-01	May 1st, 0062	01 MAY 0062	First	0062-01-01	First	Second	Second	May	121	1st	First Monday	Monday	S1	T1	Q2	May	1st Mon	Mon	0062-S1	0062-T1	0062-Q2	0062-05 (May)	0062-121	0062-First Semester	0062-Second Trimester	0062-Second Quarter	0062-05 (May)	0062-W18	0062-W-1	Weekday
620601	10101	620101	620101	620501	620401	620601	620529	0062-06-01	0001-01-01	0062-01-01	0062-01-01	0062-05-01	0062-04-01	0062-06-01	0062-05-29	620601	1	62	1	2	2	6	22	152	1	1	4	-60197558400	0062-06-01	June 1st, 0062	01 JUN 0062	First	0062-01-01	First	Second	Second	June	152	1st	First Thursday	Thursday	S1	T1	Q2	Jun	1st Thu	Thu	0062-S1	0062-T1	0062-Q2	0062-06 (Jun)	0062-152	0062-First Semester	0062-Second Trimester	0062-Second Quarter	0062-06 (June)	0062-W22	0062-W-4	Weekday
620701	10101	620101	620701	620501	620601	620701	620626	0062-07-01	0001-01-01	0062-01-01	0062-07-01	0062-05-01	0062-06-01	0062-07-01	0062-06-26	620701	1	62	2	2	3	7	26	182	1	1	6	-60194966400	0062-07-01	July 1st, 0062	01 JUL 0062	First	0062-01-01	Second	Second	Third	July	182	1st	First Saturday	Saturday	S2	T2	Q3	Jul	1st Sat	Sat	0062-S2	0062-T2	0062-Q3	0062-07 (Jul)	0062-182	0062-Second Semester	0062-Second Trimester	0062-Third Quarter	0062-07 (July)	0062-W26	0062-W-6	Weekend
620801	10101	620101	620701	620501	620601	620801	620731	0062-08-01	0001-01-01	0062-01-01	0062-07-01	0062-05-01	0062-06-01	0062-08-01	0062-07-31	620801	1	62	2	2	3	8	31	213	1	1	2	-60192288000	0062-08-01	August 1st, 0062	01 AUG 0062	First	0062-01-01	Second	Second	Third	August	213	1st	First Tuesday	Tuesday	S2	T2	Q3	Aug	1st Tue	Tue	0062-S2	0062-T2	0062-Q3	0062-08 (Aug)	0062-213	0062-Second Semester	0062-Second Trimester	0062-Third Quarter	0062-08 (August)	0062-W31	0062-W-2	Weekday
620901	10101	620101	620701	620901	620601	620901	620828	0062-09-01	0001-01-01	0062-01-01	0062-07-01	0062-09-01	0062-06-01	0062-09-01	0062-08-28	620901	1	62	2	3	3	9	35	244	1	1	5	-60189609600	0062-09-01	September 1st, 0062	01 SEP 0062	First	0062-01-01	Second	Third	Third	September	244	1st	First Friday	Friday	S2	T2	Q3	Sep	1st Fri	Fri	0062-S2	0062-T2	0062-Q3	0062-09 (Sep)	0062-244	0062-Second Semester	0062-Third Trimester	0062-Third Quarter	0062-09 (September)	0062-W35	0062-W-5	Weekday
621001	10101	620101	620701	620901	621001	621001	620925	0062-10-01	0001-01-01	0062-01-01	0062-07-01	0062-09-01	0062-10-01	0062-10-01	0062-09-25	621001	1	62	2	3	4	10	39	274	1	1	7	-60187017600	0062-10-01	October 1st, 0062	01 OCT 0062	First	0062-01-01	Second	Third	Forth	October	274	1st	First Sunday	Sunday	S2	T2	Q4	Oct	1st Sun	Sun	0062-S2	0062-T2	0062-Q4	0062-10 (Oct)	0062-274	0062-Second Semester	0062-Third Trimester	0062-Forth Quarter	0062-10 (October)	0062-W39	0062-W-7	Weekend
