DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
17680101	17010101	17680101	17680101	17680101	17680101	17680101	17671228	1768-01-01	1701-01-01	1768-01-01	1768-01-01	1768-01-01	1768-01-01	1768-01-01	1767-12-28	17680101	18	1768	1	1	1	1	53	1	1	1	5	-6374505600	1768-01-01	January 1st, 1768	01 JAN 1768	Eighteenth	1768-01-01	First	First	First	January	001	1st	First Friday	Friday	S1	T1	Q1	Jan	1st Fri	Fri	1768-S1	1768-T1	1768-Q1	1768-01 (Jan)	1768-001	1768-First Semester	1768-First Trimester	1768-First Quarter	1768-01 (January)	1767-W53	1767-W-5	Weekday
17680201	17010101	17680101	17680101	17680101	17680101	17680201	17680201	1768-02-01	1701-01-01	1768-01-01	1768-01-01	1768-01-01	1768-01-01	1768-02-01	1768-02-01	17680201	18	1768	1	1	1	2	5	32	1	1	1	-6371827200	1768-02-01	February 1st, 1768	01 FEB 1768	Eighteenth	1768-01-01	First	First	First	February	032	1st	First Monday	Monday	S1	T1	Q1	Feb	1st Mon	Mon	1768-S1	1768-T1	1768-Q1	1768-02 (Feb)	1768-032	1768-First Semester	1768-First Trimester	1768-First Quarter	1768-02 (February)	1768-W05	1768-W-1	Weekday
17680301	17010101	17680101	17680101	17680101	17680101	17680301	17680229	1768-03-01	1701-01-01	1768-01-01	1768-01-01	1768-01-01	1768-01-01	1768-03-01	1768-02-29	17680301	18	1768	1	1	1	3	9	61	1	1	2	-6369321600	1768-03-01	March 1st, 1768	01 MAR 1768	Eighteenth	1768-01-01	First	First	First	March	061	1st	First Tuesday	Tuesday	S1	T1	Q1	Mar	1st Tue	Tue	1768-S1	1768-T1	1768-Q1	1768-03 (Mar)	1768-061	1768-First Semester	1768-First Trimester	1768-First Quarter	1768-03 (March)	1768-W09	1768-W-2	Weekday
17680401	17010101	17680101	17680101	17680101	17680401	17680401	17680328	1768-04-01	1701-01-01	1768-01-01	1768-01-01	1768-01-01	1768-04-01	1768-04-01	1768-03-28	17680401	18	1768	1	1	2	4	13	92	1	1	5	-6366643200	1768-04-01	April 1st, 1768	01 APR 1768	Eighteenth	1768-01-01	First	First	Second	April	092	1st	First Friday	Friday	S1	T1	Q2	Apr	1st Fri	Fri	1768-S1	1768-T1	1768-Q2	1768-04 (Apr)	1768-092	1768-First Semester	1768-First Trimester	1768-Second Quarter	1768-04 (April)	1768-W13	1768-W-5	Weekday
17680501	17010101	17680101	17680101	17680501	17680401	17680501	17680425	1768-05-01	1701-01-01	1768-01-01	1768-01-01	1768-05-01	1768-04-01	1768-05-01	1768-04-25	17680501	18	1768	1	2	2	5	17	122	1	1	7	-6364051200	1768-05-01	May 1st, 1768	01 MAY 1768	Eighteenth	1768-01-01	First	Second	Second	May	122	1st	First Sunday	Sunday	S1	T1	Q2	May	1st Sun	Sun	1768-S1	1768-T1	1768-Q2	1768-05 (May)	1768-122	1768-First Semester	1768-Second Trimester	1768-Second Quarter	1768-05 (May)	1768-W17	1768-W-7	Weekend
17680601	17010101	17680101	17680101	17680501	17680401	17680601	17680530	1768-06-01	1701-01-01	1768-01-01	1768-01-01	1768-05-01	1768-04-01	1768-06-01	1768-05-30	17680601	18	1768	1	2	2	6	22	153	1	1	3	-6361372800	1768-06-01	June 1st, 1768	01 JUN 1768	Eighteenth	1768-01-01	First	Second	Second	June	153	1st	First Wednesday	Wednesday	S1	T1	Q2	Jun	1st Wed	Wed	1768-S1	1768-T1	1768-Q2	1768-06 (Jun)	1768-153	1768-First Semester	1768-Second Trimester	1768-Second Quarter	1768-06 (June)	1768-W22	1768-W-3	Weekday
17680701	17010101	17680101	17680701	17680501	17680601	17680701	17680627	1768-07-01	1701-01-01	1768-01-01	1768-07-01	1768-05-01	1768-06-01	1768-07-01	1768-06-27	17680701	18	1768	2	2	3	7	26	183	1	1	5	-6358780800	1768-07-01	July 1st, 1768	01 JUL 1768	Eighteenth	1768-01-01	Second	Second	Third	July	183	1st	First Friday	Friday	S2	T2	Q3	Jul	1st Fri	Fri	1768-S2	1768-T2	1768-Q3	1768-07 (Jul)	1768-183	1768-Second Semester	1768-Second Trimester	1768-Third Quarter	1768-07 (July)	1768-W26	1768-W-5	Weekday
17680801	17010101	17680101	17680701	17680501	17680601	17680801	17680801	1768-08-01	1701-01-01	1768-01-01	1768-07-01	1768-05-01	1768-06-01	1768-08-01	1768-08-01	17680801	18	1768	2	2	3	8	31	214	1	1	1	-6356102400	1768-08-01	August 1st, 1768	01 AUG 1768	Eighteenth	1768-01-01	Second	Second	Third	August	214	1st	First Monday	Monday	S2	T2	Q3	Aug	1st Mon	Mon	1768-S2	1768-T2	1768-Q3	1768-08 (Aug)	1768-214	1768-Second Semester	1768-Second Trimester	1768-Third Quarter	1768-08 (August)	1768-W31	1768-W-1	Weekday
17680901	17010101	17680101	17680701	17680901	17680601	17680901	17680829	1768-09-01	1701-01-01	1768-01-01	1768-07-01	1768-09-01	1768-06-01	1768-09-01	1768-08-29	17680901	18	1768	2	3	3	9	35	245	1	1	4	-6353424000	1768-09-01	September 1st, 1768	01 SEP 1768	Eighteenth	1768-01-01	Second	Third	Third	September	245	1st	First Thursday	Thursday	S2	T2	Q3	Sep	1st Thu	Thu	1768-S2	1768-T2	1768-Q3	1768-09 (Sep)	1768-245	1768-Second Semester	1768-Third Trimester	1768-Third Quarter	1768-09 (September)	1768-W35	1768-W-4	Weekday
17681001	17010101	17680101	17680701	17680901	17681001	17681001	17680926	1768-10-01	1701-01-01	1768-01-01	1768-07-01	1768-09-01	1768-10-01	1768-10-01	1768-09-26	17681001	18	1768	2	3	4	10	39	275	1	1	6	-6350832000	1768-10-01	October 1st, 1768	01 OCT 1768	Eighteenth	1768-01-01	Second	Third	Forth	October	275	1st	First Saturday	Saturday	S2	T2	Q4	Oct	1st Sat	Sat	1768-S2	1768-T2	1768-Q4	1768-10 (Oct)	1768-275	1768-Second Semester	1768-Third Trimester	1768-Forth Quarter	1768-10 (October)	1768-W39	1768-W-6	Weekend
17681101	17010101	17680101	17680701	17680901	17681001	17681101	17681031	1768-11-01	1701-01-01	1768-01-01	1768-07-01	1768-09-01	1768-10-01	1768-11-01	1768-10-31	17681101	18	1768	2	3	4	11	44	306	1	1	2	-6348153600	1768-11-01	November 1st, 1768	01 NOV 1768	Eighteenth	1768-01-01	Second	Third	Forth	November	306	1st	First Tuesday	Tuesday	S2	T2	Q4	Nov	1st Tue	Tue	1768-S2	1768-T2	1768-Q4	1768-11 (Nov)	1768-306	1768-Second Semester	1768-Third Trimester	1768-Forth Quarter	1768-11 (November)	1768-W44	1768-W-2	Weekday
