Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
1895-01-01	18950101	18950101	1895-01-01	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1894-12-31	18941231	1	1894-W01	Tuesday	001	01
1895-01-02	18950102	18950102	1895-01-02	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1894-12-31	18941231	1	1894-W01	Wednesday	002	02
1895-01-03	18950103	18950103	1895-01-03	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1894-12-31	18941231	1	1894-W01	Thursday	003	03
1895-01-04	18950104	18950104	1895-01-04	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1894-12-31	18941231	1	1894-W01	Friday	004	04
1895-01-05	18950105	18950105	1895-01-05	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1894-12-31	18941231	1	1894-W01	Saturday	005	05
1895-01-06	18950106	18950106	1895-01-06	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1894-12-31	18941231	1	1894-W01	Sunday	006	06
1895-01-07	18950107	18950107	1895-01-07	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-07	18950107	2	1895-W02	Monday	007	07
1895-01-08	18950108	18950108	1895-01-08	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-07	18950107	2	1895-W02	Tuesday	008	08
1895-01-09	18950109	18950109	1895-01-09	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-07	18950107	2	1895-W02	Wednesday	009	09
1895-01-10	18950110	18950110	1895-01-10	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-07	18950107	2	1895-W02	Thursday	010	10
1895-01-11	18950111	18950111	1895-01-11	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-07	18950107	2	1895-W02	Friday	011	11
1895-01-12	18950112	18950112	1895-01-12	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-07	18950107	2	1895-W02	Saturday	012	12
1895-01-13	18950113	18950113	1895-01-13	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-07	18950107	2	1895-W02	Sunday	013	13
1895-01-14	18950114	18950114	1895-01-14	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-14	18950114	3	1895-W03	Monday	014	14
1895-01-15	18950115	18950115	1895-01-15	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-14	18950114	3	1895-W03	Tuesday	015	15
1895-01-16	18950116	18950116	1895-01-16	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-14	18950114	3	1895-W03	Wednesday	016	16
1895-01-17	18950117	18950117	1895-01-17	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-14	18950114	3	1895-W03	Thursday	017	17
1895-01-18	18950118	18950118	1895-01-18	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-14	18950114	3	1895-W03	Friday	018	18
1895-01-19	18950119	18950119	1895-01-19	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-14	18950114	3	1895-W03	Saturday	019	19
1895-01-20	18950120	18950120	1895-01-20	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-14	18950114	3	1895-W03	Sunday	020	20
1895-01-21	18950121	18950121	1895-01-21	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-21	18950121	4	1895-W04	Monday	021	21
1895-01-22	18950122	18950122	1895-01-22	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-21	18950121	4	1895-W04	Tuesday	022	22
1895-01-23	18950123	18950123	1895-01-23	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-21	18950121	4	1895-W04	Wednesday	023	23
1895-01-24	18950124	18950124	1895-01-24	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-21	18950121	4	1895-W04	Thursday	024	24
1895-01-25	18950125	18950125	1895-01-25	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-21	18950121	4	1895-W04	Friday	025	25
1895-01-26	18950126	18950126	1895-01-26	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-21	18950121	4	1895-W04	Saturday	026	26
1895-01-27	18950127	18950127	1895-01-27	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-21	18950121	4	1895-W04	Sunday	027	27
1895-01-28	18950128	18950128	1895-01-28	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-28	18950128	5	1895-W05	Monday	028	28
1895-01-29	18950129	18950129	1895-01-29	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-28	18950128	5	1895-W05	Tuesday	029	29
1895-01-30	18950130	18950130	1895-01-30	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-28	18950128	5	1895-W05	Wednesday	030	30
1895-01-31	18950131	18950131	1895-01-31	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-28	18950128	5	1895-W05	Thursday	031	31
1895-02-01	18950201	18950201	1895-02-01	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-02-01	18950201	2	1895-02-01	1895-01-28	18950128	5	1895-W05	Friday	032	01
1895-02-02	18950202	18950202	1895-02-02	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-02-01	18950201	2	1895-02-01	1895-01-28	18950128	5	1895-W05	Saturday	033	02
1895-02-03	18950203	18950203	1895-02-03	1801-01-01	18010101	19	19th	1895-01-01	18950101	1895	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-01-01	18950101	1	1895-01-01	1895-02-01	18950201	2	1895-02-01	1895-01-28	18950128	5	1895-W05	Sunday	034	03
