DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
18340101	18010101	18340101	18340101	18340101	18340101	18340101	18331230	1834-01-01	1801-01-01	1834-01-01	1834-01-01	1834-01-01	1834-01-01	1834-01-01	1833-12-30	18340101	19	1834	1	1	1	1	1	1	1	1	3	-4291747200	1834-01-01	January 1st, 1834	01 JAN 1834	Nineteenth	1834-01-01	First	First	First	January	001	1st	First Wednesday	Wednesday	S1	T1	Q1	Jan	1st Wed	Wed	1834-S1	1834-T1	1834-Q1	1834-01 (Jan)	1834-001	1834-First Semester	1834-First Trimester	1834-First Quarter	1834-01 (January)	1833-W01	1833-W-3	Weekday
18340201	18010101	18340101	18340101	18340101	18340101	18340201	18340127	1834-02-01	1801-01-01	1834-01-01	1834-01-01	1834-01-01	1834-01-01	1834-02-01	1834-01-27	18340201	19	1834	1	1	1	2	5	32	1	1	6	-4289068800	1834-02-01	February 1st, 1834	01 FEB 1834	Nineteenth	1834-01-01	First	First	First	February	032	1st	First Saturday	Saturday	S1	T1	Q1	Feb	1st Sat	Sat	1834-S1	1834-T1	1834-Q1	1834-02 (Feb)	1834-032	1834-First Semester	1834-First Trimester	1834-First Quarter	1834-02 (February)	1834-W05	1834-W-6	Weekend
18340301	18010101	18340101	18340101	18340101	18340101	18340301	18340224	1834-03-01	1801-01-01	1834-01-01	1834-01-01	1834-01-01	1834-01-01	1834-03-01	1834-02-24	18340301	19	1834	1	1	1	3	9	60	1	1	6	-4286649600	1834-03-01	March 1st, 1834	01 MAR 1834	Nineteenth	1834-01-01	First	First	First	March	060	1st	First Saturday	Saturday	S1	T1	Q1	Mar	1st Sat	Sat	1834-S1	1834-T1	1834-Q1	1834-03 (Mar)	1834-060	1834-First Semester	1834-First Trimester	1834-First Quarter	1834-03 (March)	1834-W09	1834-W-6	Weekend
18340401	18010101	18340101	18340101	18340101	18340401	18340401	18340331	1834-04-01	1801-01-01	1834-01-01	1834-01-01	1834-01-01	1834-04-01	1834-04-01	1834-03-31	18340401	19	1834	1	1	2	4	14	91	1	1	2	-4283971200	1834-04-01	April 1st, 1834	01 APR 1834	Nineteenth	1834-01-01	First	First	Second	April	091	1st	First Tuesday	Tuesday	S1	T1	Q2	Apr	1st Tue	Tue	1834-S1	1834-T1	1834-Q2	1834-04 (Apr)	1834-091	1834-First Semester	1834-First Trimester	1834-Second Quarter	1834-04 (April)	1834-W14	1834-W-2	Weekday
18340501	18010101	18340101	18340101	18340501	18340401	18340501	18340428	1834-05-01	1801-01-01	1834-01-01	1834-01-01	1834-05-01	1834-04-01	1834-05-01	1834-04-28	18340501	19	1834	1	2	2	5	18	121	1	1	4	-4281379200	1834-05-01	May 1st, 1834	01 MAY 1834	Nineteenth	1834-01-01	First	Second	Second	May	121	1st	First Thursday	Thursday	S1	T1	Q2	May	1st Thu	Thu	1834-S1	1834-T1	1834-Q2	1834-05 (May)	1834-121	1834-First Semester	1834-Second Trimester	1834-Second Quarter	1834-05 (May)	1834-W18	1834-W-4	Weekday
18340601	18010101	18340101	18340101	18340501	18340401	18340601	18340526	1834-06-01	1801-01-01	1834-01-01	1834-01-01	1834-05-01	1834-04-01	1834-06-01	1834-05-26	18340601	19	1834	1	2	2	6	22	152	1	1	7	-4278700800	1834-06-01	June 1st, 1834	01 JUN 1834	Nineteenth	1834-01-01	First	Second	Second	June	152	1st	First Sunday	Sunday	S1	T1	Q2	Jun	1st Sun	Sun	1834-S1	1834-T1	1834-Q2	1834-06 (Jun)	1834-152	1834-First Semester	1834-Second Trimester	1834-Second Quarter	1834-06 (June)	1834-W22	1834-W-7	Weekend
18340701	18010101	18340101	18340701	18340501	18340601	18340701	18340630	1834-07-01	1801-01-01	1834-01-01	1834-07-01	1834-05-01	1834-06-01	1834-07-01	1834-06-30	18340701	19	1834	2	2	3	7	27	182	1	1	2	-4276108800	1834-07-01	July 1st, 1834	01 JUL 1834	Nineteenth	1834-01-01	Second	Second	Third	July	182	1st	First Tuesday	Tuesday	S2	T2	Q3	Jul	1st Tue	Tue	1834-S2	1834-T2	1834-Q3	1834-07 (Jul)	1834-182	1834-Second Semester	1834-Second Trimester	1834-Third Quarter	1834-07 (July)	1834-W27	1834-W-2	Weekday
18340801	18010101	18340101	18340701	18340501	18340601	18340801	18340728	1834-08-01	1801-01-01	1834-01-01	1834-07-01	1834-05-01	1834-06-01	1834-08-01	1834-07-28	18340801	19	1834	2	2	3	8	31	213	1	1	5	-4273430400	1834-08-01	August 1st, 1834	01 AUG 1834	Nineteenth	1834-01-01	Second	Second	Third	August	213	1st	First Friday	Friday	S2	T2	Q3	Aug	1st Fri	Fri	1834-S2	1834-T2	1834-Q3	1834-08 (Aug)	1834-213	1834-Second Semester	1834-Second Trimester	1834-Third Quarter	1834-08 (August)	1834-W31	1834-W-5	Weekday
18340901	18010101	18340101	18340701	18340901	18340601	18340901	18340901	1834-09-01	1801-01-01	1834-01-01	1834-07-01	1834-09-01	1834-06-01	1834-09-01	1834-09-01	18340901	19	1834	2	3	3	9	36	244	1	1	1	-4270752000	1834-09-01	September 1st, 1834	01 SEP 1834	Nineteenth	1834-01-01	Second	Third	Third	September	244	1st	First Monday	Monday	S2	T2	Q3	Sep	1st Mon	Mon	1834-S2	1834-T2	1834-Q3	1834-09 (Sep)	1834-244	1834-Second Semester	1834-Third Trimester	1834-Third Quarter	1834-09 (September)	1834-W36	1834-W-1	Weekday
18341001	18010101	18340101	18340701	18340901	18341001	18341001	18340929	1834-10-01	1801-01-01	1834-01-01	1834-07-01	1834-09-01	1834-10-01	1834-10-01	1834-09-29	18341001	19	1834	2	3	4	10	40	274	1	1	3	-4268160000	1834-10-01	October 1st, 1834	01 OCT 1834	Nineteenth	1834-01-01	Second	Third	Forth	October	274	1st	First Wednesday	Wednesday	S2	T2	Q4	Oct	1st Wed	Wed	1834-S2	1834-T2	1834-Q4	1834-10 (Oct)	1834-274	1834-Second Semester	1834-Third Trimester	1834-Forth Quarter	1834-10 (October)	1834-W40	1834-W-3	Weekday
