DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
23870101	23010101	23870101	23870101	23870101	23870101	23870101	23861229	2387-01-01	2301-01-01	2387-01-01	2387-01-01	2387-01-01	2387-01-01	2387-01-01	2386-12-29	23870101	24	2387	1	1	1	1	1	1	1	1	4	13159238400	2387-01-01	January 1st, 2387	01 JAN 2387	Twenty-Forth	2387-01-01	First	First	First	January	001	1st	First Thursday	Thursday	S1	T1	Q1	Jan	1st Thu	Thu	2387-S1	2387-T1	2387-Q1	2387-01 (Jan)	2387-001	2387-First Semester	2387-First Trimester	2387-First Quarter	2387-01 (January)	2386-W01	2386-W-4	Weekday
23870201	23010101	23870101	23870101	23870101	23870101	23870201	23870126	2387-02-01	2301-01-01	2387-01-01	2387-01-01	2387-01-01	2387-01-01	2387-02-01	2387-01-26	23870201	24	2387	1	1	1	2	5	32	1	1	7	13161916800	2387-02-01	February 1st, 2387	01 FEB 2387	Twenty-Forth	2387-01-01	First	First	First	February	032	1st	First Sunday	Sunday	S1	T1	Q1	Feb	1st Sun	Sun	2387-S1	2387-T1	2387-Q1	2387-02 (Feb)	2387-032	2387-First Semester	2387-First Trimester	2387-First Quarter	2387-02 (February)	2387-W05	2387-W-7	Weekend
23870301	23010101	23870101	23870101	23870101	23870101	23870301	23870223	2387-03-01	2301-01-01	2387-01-01	2387-01-01	2387-01-01	2387-01-01	2387-03-01	2387-02-23	23870301	24	2387	1	1	1	3	9	60	1	1	7	13164336000	2387-03-01	March 1st, 2387	01 MAR 2387	Twenty-Forth	2387-01-01	First	First	First	March	060	1st	First Sunday	Sunday	S1	T1	Q1	Mar	1st Sun	Sun	2387-S1	2387-T1	2387-Q1	2387-03 (Mar)	2387-060	2387-First Semester	2387-First Trimester	2387-First Quarter	2387-03 (March)	2387-W09	2387-W-7	Weekend
23870401	23010101	23870101	23870101	23870101	23870401	23870401	23870330	2387-04-01	2301-01-01	2387-01-01	2387-01-01	2387-01-01	2387-04-01	2387-04-01	2387-03-30	23870401	24	2387	1	1	2	4	14	91	1	1	3	13167014400	2387-04-01	April 1st, 2387	01 APR 2387	Twenty-Forth	2387-01-01	First	First	Second	April	091	1st	First Wednesday	Wednesday	S1	T1	Q2	Apr	1st Wed	Wed	2387-S1	2387-T1	2387-Q2	2387-04 (Apr)	2387-091	2387-First Semester	2387-First Trimester	2387-Second Quarter	2387-04 (April)	2387-W14	2387-W-3	Weekday
23870501	23010101	23870101	23870101	23870501	23870401	23870501	23870427	2387-05-01	2301-01-01	2387-01-01	2387-01-01	2387-05-01	2387-04-01	2387-05-01	2387-04-27	23870501	24	2387	1	2	2	5	18	121	1	1	5	13169606400	2387-05-01	May 1st, 2387	01 MAY 2387	Twenty-Forth	2387-01-01	First	Second	Second	May	121	1st	First Friday	Friday	S1	T1	Q2	May	1st Fri	Fri	2387-S1	2387-T1	2387-Q2	2387-05 (May)	2387-121	2387-First Semester	2387-Second Trimester	2387-Second Quarter	2387-05 (May)	2387-W18	2387-W-5	Weekday
23870601	23010101	23870101	23870101	23870501	23870401	23870601	23870601	2387-06-01	2301-01-01	2387-01-01	2387-01-01	2387-05-01	2387-04-01	2387-06-01	2387-06-01	23870601	24	2387	1	2	2	6	23	152	1	1	1	13172284800	2387-06-01	June 1st, 2387	01 JUN 2387	Twenty-Forth	2387-01-01	First	Second	Second	June	152	1st	First Monday	Monday	S1	T1	Q2	Jun	1st Mon	Mon	2387-S1	2387-T1	2387-Q2	2387-06 (Jun)	2387-152	2387-First Semester	2387-Second Trimester	2387-Second Quarter	2387-06 (June)	2387-W23	2387-W-1	Weekday
23870701	23010101	23870101	23870701	23870501	23870601	23870701	23870629	2387-07-01	2301-01-01	2387-01-01	2387-07-01	2387-05-01	2387-06-01	2387-07-01	2387-06-29	23870701	24	2387	2	2	3	7	27	182	1	1	3	13174876800	2387-07-01	July 1st, 2387	01 JUL 2387	Twenty-Forth	2387-01-01	Second	Second	Third	July	182	1st	First Wednesday	Wednesday	S2	T2	Q3	Jul	1st Wed	Wed	2387-S2	2387-T2	2387-Q3	2387-07 (Jul)	2387-182	2387-Second Semester	2387-Second Trimester	2387-Third Quarter	2387-07 (July)	2387-W27	2387-W-3	Weekday
23870801	23010101	23870101	23870701	23870501	23870601	23870801	23870727	2387-08-01	2301-01-01	2387-01-01	2387-07-01	2387-05-01	2387-06-01	2387-08-01	2387-07-27	23870801	24	2387	2	2	3	8	31	213	1	1	6	13177555200	2387-08-01	August 1st, 2387	01 AUG 2387	Twenty-Forth	2387-01-01	Second	Second	Third	August	213	1st	First Saturday	Saturday	S2	T2	Q3	Aug	1st Sat	Sat	2387-S2	2387-T2	2387-Q3	2387-08 (Aug)	2387-213	2387-Second Semester	2387-Second Trimester	2387-Third Quarter	2387-08 (August)	2387-W31	2387-W-6	Weekend
23870901	23010101	23870101	23870701	23870901	23870601	23870901	23870831	2387-09-01	2301-01-01	2387-01-01	2387-07-01	2387-09-01	2387-06-01	2387-09-01	2387-08-31	23870901	24	2387	2	3	3	9	36	244	1	1	2	13180233600	2387-09-01	September 1st, 2387	01 SEP 2387	Twenty-Forth	2387-01-01	Second	Third	Third	September	244	1st	First Tuesday	Tuesday	S2	T2	Q3	Sep	1st Tue	Tue	2387-S2	2387-T2	2387-Q3	2387-09 (Sep)	2387-244	2387-Second Semester	2387-Third Trimester	2387-Third Quarter	2387-09 (September)	2387-W36	2387-W-2	Weekday
23871001	23010101	23870101	23870701	23870901	23871001	23871001	23870928	2387-10-01	2301-01-01	2387-01-01	2387-07-01	2387-09-01	2387-10-01	2387-10-01	2387-09-28	23871001	24	2387	2	3	4	10	40	274	1	1	4	13182825600	2387-10-01	October 1st, 2387	01 OCT 2387	Twenty-Forth	2387-01-01	Second	Third	Forth	October	274	1st	First Thursday	Thursday	S2	T2	Q4	Oct	1st Thu	Thu	2387-S2	2387-T2	2387-Q4	2387-10 (Oct)	2387-274	2387-Second Semester	2387-Third Trimester	2387-Forth Quarter	2387-10 (October)	2387-W40	2387-W-4	Weekday
