Time	TimeKey	TimeNumber	TimeName	Hour	HourKey	HourNumber	HourName	HalfHour	HalfHourKey	HalfHourNumber	HalfHourName	QuarterHour	QuarterHourKey	QuarterHourNumber	QuarterHourName	Minute	MinuteKey	MinuteNumber	MinuteName	TimeOfDay	TimeOfDayKey	TimeOfDayNumber	TimeOfDayName	SubTimeOfDay	SubTimeOfDayKey	SubTimeOfDayNumber	SubTimeOfDayName
02:00:00	20000	20000	02:00:00	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:01	20001	20001	02:00:01	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:02	20002	20002	02:00:02	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:03	20003	20003	02:00:03	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:04	20004	20004	02:00:04	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:05	20005	20005	02:00:05	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:06	20006	20006	02:00:06	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:07	20007	20007	02:00:07	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:08	20008	20008	02:00:08	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
02:00:09	20009	20009	02:00:09	02:00:00	20000	2	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	1	02:00:00	02:00:00	20000	0	02:00:00	00:00:00	0	0	00:00:00	00:00:00	0	1	00:00:00
