Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
0862-01-01	8620101	8620101	0862-01-01	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0861-12-26	8611226	52	0861-W52	Sunday	001	01
0862-01-02	8620102	8620102	0862-01-02	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-02	8620102	1	0862-W01	Monday	002	02
0862-01-03	8620103	8620103	0862-01-03	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-02	8620102	1	0862-W01	Tuesday	003	03
0862-01-04	8620104	8620104	0862-01-04	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-02	8620102	1	0862-W01	Wednesday	004	04
0862-01-05	8620105	8620105	0862-01-05	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-02	8620102	1	0862-W01	Thursday	005	05
0862-01-06	8620106	8620106	0862-01-06	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-02	8620102	1	0862-W01	Friday	006	06
0862-01-07	8620107	8620107	0862-01-07	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-02	8620102	1	0862-W01	Saturday	007	07
0862-01-08	8620108	8620108	0862-01-08	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-02	8620102	1	0862-W01	Sunday	008	08
0862-01-09	8620109	8620109	0862-01-09	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-09	8620109	2	0862-W02	Monday	009	09
0862-01-10	8620110	8620110	0862-01-10	0801-01-01	8010101	9	9th	0862-01-01	8620101	862	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-01	8620101	1	0862-01-01	0862-01-09	8620109	2	0862-W02	Tuesday	010	10
