DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
4980101	4010101	4980101	4980101	4980101	4980101	4980101	4971230	0498-01-01	0401-01-01	0498-01-01	0498-01-01	0498-01-01	0498-01-01	0498-01-01	0497-12-30	4980101	5	498	1	1	1	1	1	1	1	1	3	-46451750400	0498-01-01	January 1st, 0498	01 JAN 0498	Fifth	0498-01-01	First	First	First	January	001	1st	First Wednesday	Wednesday	S1	T1	Q1	Jan	1st Wed	Wed	0498-S1	0498-T1	0498-Q1	0498-01 (Jan)	0498-001	0498-First Semester	0498-First Trimester	0498-First Quarter	0498-01 (January)	0497-W01	0497-W-3	Weekday
4980201	4010101	4980101	4980101	4980101	4980101	4980201	4980127	0498-02-01	0401-01-01	0498-01-01	0498-01-01	0498-01-01	0498-01-01	0498-02-01	0498-01-27	4980201	5	498	1	1	1	2	5	32	1	1	6	-46449072000	0498-02-01	February 1st, 0498	01 FEB 0498	Fifth	0498-01-01	First	First	First	February	032	1st	First Saturday	Saturday	S1	T1	Q1	Feb	1st Sat	Sat	0498-S1	0498-T1	0498-Q1	0498-02 (Feb)	0498-032	0498-First Semester	0498-First Trimester	0498-First Quarter	0498-02 (February)	0498-W05	0498-W-6	Weekend
4980301	4010101	4980101	4980101	4980101	4980101	4980301	4980224	0498-03-01	0401-01-01	0498-01-01	0498-01-01	0498-01-01	0498-01-01	0498-03-01	0498-02-24	4980301	5	498	1	1	1	3	9	60	1	1	6	-46446652800	0498-03-01	March 1st, 0498	01 MAR 0498	Fifth	0498-01-01	First	First	First	March	060	1st	First Saturday	Saturday	S1	T1	Q1	Mar	1st Sat	Sat	0498-S1	0498-T1	0498-Q1	0498-03 (Mar)	0498-060	0498-First Semester	0498-First Trimester	0498-First Quarter	0498-03 (March)	0498-W09	0498-W-6	Weekend
4980401	4010101	4980101	4980101	4980101	4980401	4980401	4980331	0498-04-01	0401-01-01	0498-01-01	0498-01-01	0498-01-01	0498-04-01	0498-04-01	0498-03-31	4980401	5	498	1	1	2	4	14	91	1	1	2	-46443974400	0498-04-01	April 1st, 0498	01 APR 0498	Fifth	0498-01-01	First	First	Second	April	091	1st	First Tuesday	Tuesday	S1	T1	Q2	Apr	1st Tue	Tue	0498-S1	0498-T1	0498-Q2	0498-04 (Apr)	0498-091	0498-First Semester	0498-First Trimester	0498-Second Quarter	0498-04 (April)	0498-W14	0498-W-2	Weekday
4980501	4010101	4980101	4980101	4980501	4980401	4980501	4980428	0498-05-01	0401-01-01	0498-01-01	0498-01-01	0498-05-01	0498-04-01	0498-05-01	0498-04-28	4980501	5	498	1	2	2	5	18	121	1	1	4	-46441382400	0498-05-01	May 1st, 0498	01 MAY 0498	Fifth	0498-01-01	First	Second	Second	May	121	1st	First Thursday	Thursday	S1	T1	Q2	May	1st Thu	Thu	0498-S1	0498-T1	0498-Q2	0498-05 (May)	0498-121	0498-First Semester	0498-Second Trimester	0498-Second Quarter	0498-05 (May)	0498-W18	0498-W-4	Weekday
4980601	4010101	4980101	4980101	4980501	4980401	4980601	4980526	0498-06-01	0401-01-01	0498-01-01	0498-01-01	0498-05-01	0498-04-01	0498-06-01	0498-05-26	4980601	5	498	1	2	2	6	22	152	1	1	7	-46438704000	0498-06-01	June 1st, 0498	01 JUN 0498	Fifth	0498-01-01	First	Second	Second	June	152	1st	First Sunday	Sunday	S1	T1	Q2	Jun	1st Sun	Sun	0498-S1	0498-T1	0498-Q2	0498-06 (Jun)	0498-152	0498-First Semester	0498-Second Trimester	0498-Second Quarter	0498-06 (June)	0498-W22	0498-W-7	Weekend
4980701	4010101	4980101	4980701	4980501	4980601	4980701	4980630	0498-07-01	0401-01-01	0498-01-01	0498-07-01	0498-05-01	0498-06-01	0498-07-01	0498-06-30	4980701	5	498	2	2	3	7	27	182	1	1	2	-46436112000	0498-07-01	July 1st, 0498	01 JUL 0498	Fifth	0498-01-01	Second	Second	Third	July	182	1st	First Tuesday	Tuesday	S2	T2	Q3	Jul	1st Tue	Tue	0498-S2	0498-T2	0498-Q3	0498-07 (Jul)	0498-182	0498-Second Semester	0498-Second Trimester	0498-Third Quarter	0498-07 (July)	0498-W27	0498-W-2	Weekday
4980801	4010101	4980101	4980701	4980501	4980601	4980801	4980728	0498-08-01	0401-01-01	0498-01-01	0498-07-01	0498-05-01	0498-06-01	0498-08-01	0498-07-28	4980801	5	498	2	2	3	8	31	213	1	1	5	-46433433600	0498-08-01	August 1st, 0498	01 AUG 0498	Fifth	0498-01-01	Second	Second	Third	August	213	1st	First Friday	Friday	S2	T2	Q3	Aug	1st Fri	Fri	0498-S2	0498-T2	0498-Q3	0498-08 (Aug)	0498-213	0498-Second Semester	0498-Second Trimester	0498-Third Quarter	0498-08 (August)	0498-W31	0498-W-5	Weekday
4980901	4010101	4980101	4980701	4980901	4980601	4980901	4980901	0498-09-01	0401-01-01	0498-01-01	0498-07-01	0498-09-01	0498-06-01	0498-09-01	0498-09-01	4980901	5	498	2	3	3	9	36	244	1	1	1	-46430755200	0498-09-01	September 1st, 0498	01 SEP 0498	Fifth	0498-01-01	Second	Third	Third	September	244	1st	First Monday	Monday	S2	T2	Q3	Sep	1st Mon	Mon	0498-S2	0498-T2	0498-Q3	0498-09 (Sep)	0498-244	0498-Second Semester	0498-Third Trimester	0498-Third Quarter	0498-09 (September)	0498-W36	0498-W-1	Weekday
4981001	4010101	4980101	4980701	4980901	4981001	4981001	4980929	0498-10-01	0401-01-01	0498-01-01	0498-07-01	0498-09-01	0498-10-01	0498-10-01	0498-09-29	4981001	5	498	2	3	4	10	40	274	1	1	3	-46428163200	0498-10-01	October 1st, 0498	01 OCT 0498	Fifth	0498-01-01	Second	Third	Forth	October	274	1st	First Wednesday	Wednesday	S2	T2	Q4	Oct	1st Wed	Wed	0498-S2	0498-T2	0498-Q4	0498-10 (Oct)	0498-274	0498-Second Semester	0498-Third Trimester	0498-Forth Quarter	0498-10 (October)	0498-W40	0498-W-3	Weekday
