Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
0669-01-01	6690101	6690101	0669-01-01	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0668-12-28	6681228	53	0668-W53	Friday	001	01
0669-01-02	6690102	6690102	0669-01-02	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0668-12-28	6681228	53	0668-W53	Saturday	002	02
0669-01-03	6690103	6690103	0669-01-03	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0668-12-28	6681228	53	0668-W53	Sunday	003	03
0669-01-04	6690104	6690104	0669-01-04	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-04	6690104	1	0669-W01	Monday	004	04
0669-01-05	6690105	6690105	0669-01-05	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-04	6690104	1	0669-W01	Tuesday	005	05
0669-01-06	6690106	6690106	0669-01-06	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-04	6690104	1	0669-W01	Wednesday	006	06
0669-01-07	6690107	6690107	0669-01-07	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-04	6690104	1	0669-W01	Thursday	007	07
0669-01-08	6690108	6690108	0669-01-08	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-04	6690104	1	0669-W01	Friday	008	08
0669-01-09	6690109	6690109	0669-01-09	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-04	6690104	1	0669-W01	Saturday	009	09
0669-01-10	6690110	6690110	0669-01-10	0601-01-01	6010101	7	7th	0669-01-01	6690101	669	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-01	6690101	1	0669-01-01	0669-01-04	6690104	1	0669-W01	Sunday	010	10
