Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
0950-01-01	9500101	9500101	0950-01-01	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0949-12-29	9491229	1	0949-W01	Thursday	001	01
0950-01-02	9500102	9500102	0950-01-02	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0949-12-29	9491229	1	0949-W01	Friday	002	02
0950-01-03	9500103	9500103	0950-01-03	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0949-12-29	9491229	1	0949-W01	Saturday	003	03
0950-01-04	9500104	9500104	0950-01-04	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0949-12-29	9491229	1	0949-W01	Sunday	004	04
0950-01-05	9500105	9500105	0950-01-05	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-05	9500105	2	0950-W02	Monday	005	05
0950-01-06	9500106	9500106	0950-01-06	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-05	9500105	2	0950-W02	Tuesday	006	06
0950-01-07	9500107	9500107	0950-01-07	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-05	9500105	2	0950-W02	Wednesday	007	07
0950-01-08	9500108	9500108	0950-01-08	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-05	9500105	2	0950-W02	Thursday	008	08
0950-01-09	9500109	9500109	0950-01-09	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-05	9500105	2	0950-W02	Friday	009	09
0950-01-10	9500110	9500110	0950-01-10	0901-01-01	9010101	10	10th	0950-01-01	9500101	950	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-01	9500101	1	0950-01-01	0950-01-05	9500105	2	0950-W02	Saturday	010	10
