DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
9600101	9010101	9600101	9600101	9600101	9600101	9600101	9591231	0960-01-01	0901-01-01	0960-01-01	0960-01-01	0960-01-01	0960-01-01	0960-01-01	0959-12-31	9600101	10	960	1	1	1	1	1	1	1	1	2	-31872528000	0960-01-01	January 1st, 0960	01 JAN 0960	Tenth	0960-01-01	First	First	First	January	001	1st	First Tuesday	Tuesday	S1	T1	Q1	Jan	1st Tue	Tue	0960-S1	0960-T1	0960-Q1	0960-01 (Jan)	0960-001	0960-First Semester	0960-First Trimester	0960-First Quarter	0960-01 (January)	0959-W01	0959-W-2	Weekday
9600201	9010101	9600101	9600101	9600101	9600101	9600201	9600128	0960-02-01	0901-01-01	0960-01-01	0960-01-01	0960-01-01	0960-01-01	0960-02-01	0960-01-28	9600201	10	960	1	1	1	2	5	32	1	1	5	-31869849600	0960-02-01	February 1st, 0960	01 FEB 0960	Tenth	0960-01-01	First	First	First	February	032	1st	First Friday	Friday	S1	T1	Q1	Feb	1st Fri	Fri	0960-S1	0960-T1	0960-Q1	0960-02 (Feb)	0960-032	0960-First Semester	0960-First Trimester	0960-First Quarter	0960-02 (February)	0960-W05	0960-W-5	Weekday
9600301	9010101	9600101	9600101	9600101	9600101	9600301	9600225	0960-03-01	0901-01-01	0960-01-01	0960-01-01	0960-01-01	0960-01-01	0960-03-01	0960-02-25	9600301	10	960	1	1	1	3	9	61	1	1	6	-31867344000	0960-03-01	March 1st, 0960	01 MAR 0960	Tenth	0960-01-01	First	First	First	March	061	1st	First Saturday	Saturday	S1	T1	Q1	Mar	1st Sat	Sat	0960-S1	0960-T1	0960-Q1	0960-03 (Mar)	0960-061	0960-First Semester	0960-First Trimester	0960-First Quarter	0960-03 (March)	0960-W09	0960-W-6	Weekend
9600401	9010101	9600101	9600101	9600101	9600401	9600401	9600331	0960-04-01	0901-01-01	0960-01-01	0960-01-01	0960-01-01	0960-04-01	0960-04-01	0960-03-31	9600401	10	960	1	1	2	4	14	92	1	1	2	-31864665600	0960-04-01	April 1st, 0960	01 APR 0960	Tenth	0960-01-01	First	First	Second	April	092	1st	First Tuesday	Tuesday	S1	T1	Q2	Apr	1st Tue	Tue	0960-S1	0960-T1	0960-Q2	0960-04 (Apr)	0960-092	0960-First Semester	0960-First Trimester	0960-Second Quarter	0960-04 (April)	0960-W14	0960-W-2	Weekday
9600501	9010101	9600101	9600101	9600501	9600401	9600501	9600428	0960-05-01	0901-01-01	0960-01-01	0960-01-01	0960-05-01	0960-04-01	0960-05-01	0960-04-28	9600501	10	960	1	2	2	5	18	122	1	1	4	-31862073600	0960-05-01	May 1st, 0960	01 MAY 0960	Tenth	0960-01-01	First	Second	Second	May	122	1st	First Thursday	Thursday	S1	T1	Q2	May	1st Thu	Thu	0960-S1	0960-T1	0960-Q2	0960-05 (May)	0960-122	0960-First Semester	0960-Second Trimester	0960-Second Quarter	0960-05 (May)	0960-W18	0960-W-4	Weekday
9600601	9010101	9600101	9600101	9600501	9600401	9600601	9600526	0960-06-01	0901-01-01	0960-01-01	0960-01-01	0960-05-01	0960-04-01	0960-06-01	0960-05-26	9600601	10	960	1	2	2	6	22	153	1	1	7	-31859395200	0960-06-01	June 1st, 0960	01 JUN 0960	Tenth	0960-01-01	First	Second	Second	June	153	1st	First Sunday	Sunday	S1	T1	Q2	Jun	1st Sun	Sun	0960-S1	0960-T1	0960-Q2	0960-06 (Jun)	0960-153	0960-First Semester	0960-Second Trimester	0960-Second Quarter	0960-06 (June)	0960-W22	0960-W-7	Weekend
9600701	9010101	9600101	9600701	9600501	9600601	9600701	9600630	0960-07-01	0901-01-01	0960-01-01	0960-07-01	0960-05-01	0960-06-01	0960-07-01	0960-06-30	9600701	10	960	2	2	3	7	27	183	1	1	2	-31856803200	0960-07-01	July 1st, 0960	01 JUL 0960	Tenth	0960-01-01	Second	Second	Third	July	183	1st	First Tuesday	Tuesday	S2	T2	Q3	Jul	1st Tue	Tue	0960-S2	0960-T2	0960-Q3	0960-07 (Jul)	0960-183	0960-Second Semester	0960-Second Trimester	0960-Third Quarter	0960-07 (July)	0960-W27	0960-W-2	Weekday
9600801	9010101	9600101	9600701	9600501	9600601	9600801	9600728	0960-08-01	0901-01-01	0960-01-01	0960-07-01	0960-05-01	0960-06-01	0960-08-01	0960-07-28	9600801	10	960	2	2	3	8	31	214	1	1	5	-31854124800	0960-08-01	August 1st, 0960	01 AUG 0960	Tenth	0960-01-01	Second	Second	Third	August	214	1st	First Friday	Friday	S2	T2	Q3	Aug	1st Fri	Fri	0960-S2	0960-T2	0960-Q3	0960-08 (Aug)	0960-214	0960-Second Semester	0960-Second Trimester	0960-Third Quarter	0960-08 (August)	0960-W31	0960-W-5	Weekday
9600901	9010101	9600101	9600701	9600901	9600601	9600901	9600901	0960-09-01	0901-01-01	0960-01-01	0960-07-01	0960-09-01	0960-06-01	0960-09-01	0960-09-01	9600901	10	960	2	3	3	9	36	245	1	1	1	-31851446400	0960-09-01	September 1st, 0960	01 SEP 0960	Tenth	0960-01-01	Second	Third	Third	September	245	1st	First Monday	Monday	S2	T2	Q3	Sep	1st Mon	Mon	0960-S2	0960-T2	0960-Q3	0960-09 (Sep)	0960-245	0960-Second Semester	0960-Third Trimester	0960-Third Quarter	0960-09 (September)	0960-W36	0960-W-1	Weekday
9601001	9010101	9600101	9600701	9600901	9601001	9601001	9600929	0960-10-01	0901-01-01	0960-01-01	0960-07-01	0960-09-01	0960-10-01	0960-10-01	0960-09-29	9601001	10	960	2	3	4	10	40	275	1	1	3	-31848854400	0960-10-01	October 1st, 0960	01 OCT 0960	Tenth	0960-01-01	Second	Third	Forth	October	275	1st	First Wednesday	Wednesday	S2	T2	Q4	Oct	1st Wed	Wed	0960-S2	0960-T2	0960-Q4	0960-10 (Oct)	0960-275	0960-Second Semester	0960-Third Trimester	0960-Forth Quarter	0960-10 (October)	0960-W40	0960-W-3	Weekday
