DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
7400101	7010101	7400101	7400101	7400101	7400101	7400101	7400101	0740-01-01	0701-01-01	0740-01-01	0740-01-01	0740-01-01	0740-01-01	0740-01-01	0740-01-01	7400101	8	740	1	1	1	1	1	1	1	1	1	-38815113600	0740-01-01	January 1st, 0740	01 JAN 0740	Eighth	0740-01-01	First	First	First	January	001	1st	First Monday	Monday	S1	T1	Q1	Jan	1st Mon	Mon	0740-S1	0740-T1	0740-Q1	0740-01 (Jan)	0740-001	0740-First Semester	0740-First Trimester	0740-First Quarter	0740-01 (January)	0740-W01	0740-W-1	Weekday
7400201	7010101	7400101	7400101	7400101	7400101	7400201	7400129	0740-02-01	0701-01-01	0740-01-01	0740-01-01	0740-01-01	0740-01-01	0740-02-01	0740-01-29	7400201	8	740	1	1	1	2	5	32	1	1	4	-38812435200	0740-02-01	February 1st, 0740	01 FEB 0740	Eighth	0740-01-01	First	First	First	February	032	1st	First Thursday	Thursday	S1	T1	Q1	Feb	1st Thu	Thu	0740-S1	0740-T1	0740-Q1	0740-02 (Feb)	0740-032	0740-First Semester	0740-First Trimester	0740-First Quarter	0740-02 (February)	0740-W05	0740-W-4	Weekday
7400301	7010101	7400101	7400101	7400101	7400101	7400301	7400226	0740-03-01	0701-01-01	0740-01-01	0740-01-01	0740-01-01	0740-01-01	0740-03-01	0740-02-26	7400301	8	740	1	1	1	3	9	61	1	1	5	-38809929600	0740-03-01	March 1st, 0740	01 MAR 0740	Eighth	0740-01-01	First	First	First	March	061	1st	First Friday	Friday	S1	T1	Q1	Mar	1st Fri	Fri	0740-S1	0740-T1	0740-Q1	0740-03 (Mar)	0740-061	0740-First Semester	0740-First Trimester	0740-First Quarter	0740-03 (March)	0740-W09	0740-W-5	Weekday
7400401	7010101	7400101	7400101	7400101	7400401	7400401	7400401	0740-04-01	0701-01-01	0740-01-01	0740-01-01	0740-01-01	0740-04-01	0740-04-01	0740-04-01	7400401	8	740	1	1	2	4	14	92	1	1	1	-38807251200	0740-04-01	April 1st, 0740	01 APR 0740	Eighth	0740-01-01	First	First	Second	April	092	1st	First Monday	Monday	S1	T1	Q2	Apr	1st Mon	Mon	0740-S1	0740-T1	0740-Q2	0740-04 (Apr)	0740-092	0740-First Semester	0740-First Trimester	0740-Second Quarter	0740-04 (April)	0740-W14	0740-W-1	Weekday
7400501	7010101	7400101	7400101	7400501	7400401	7400501	7400429	0740-05-01	0701-01-01	0740-01-01	0740-01-01	0740-05-01	0740-04-01	0740-05-01	0740-04-29	7400501	8	740	1	2	2	5	18	122	1	1	3	-38804659200	0740-05-01	May 1st, 0740	01 MAY 0740	Eighth	0740-01-01	First	Second	Second	May	122	1st	First Wednesday	Wednesday	S1	T1	Q2	May	1st Wed	Wed	0740-S1	0740-T1	0740-Q2	0740-05 (May)	0740-122	0740-First Semester	0740-Second Trimester	0740-Second Quarter	0740-05 (May)	0740-W18	0740-W-3	Weekday
7400601	7010101	7400101	7400101	7400501	7400401	7400601	7400527	0740-06-01	0701-01-01	0740-01-01	0740-01-01	0740-05-01	0740-04-01	0740-06-01	0740-05-27	7400601	8	740	1	2	2	6	22	153	1	1	6	-38801980800	0740-06-01	June 1st, 0740	01 JUN 0740	Eighth	0740-01-01	First	Second	Second	June	153	1st	First Saturday	Saturday	S1	T1	Q2	Jun	1st Sat	Sat	0740-S1	0740-T1	0740-Q2	0740-06 (Jun)	0740-153	0740-First Semester	0740-Second Trimester	0740-Second Quarter	0740-06 (June)	0740-W22	0740-W-6	Weekend
7400701	7010101	7400101	7400701	7400501	7400601	7400701	7400701	0740-07-01	0701-01-01	0740-01-01	0740-07-01	0740-05-01	0740-06-01	0740-07-01	0740-07-01	7400701	8	740	2	2	3	7	27	183	1	1	1	-38799388800	0740-07-01	July 1st, 0740	01 JUL 0740	Eighth	0740-01-01	Second	Second	Third	July	183	1st	First Monday	Monday	S2	T2	Q3	Jul	1st Mon	Mon	0740-S2	0740-T2	0740-Q3	0740-07 (Jul)	0740-183	0740-Second Semester	0740-Second Trimester	0740-Third Quarter	0740-07 (July)	0740-W27	0740-W-1	Weekday
7400801	7010101	7400101	7400701	7400501	7400601	7400801	7400729	0740-08-01	0701-01-01	0740-01-01	0740-07-01	0740-05-01	0740-06-01	0740-08-01	0740-07-29	7400801	8	740	2	2	3	8	31	214	1	1	4	-38796710400	0740-08-01	August 1st, 0740	01 AUG 0740	Eighth	0740-01-01	Second	Second	Third	August	214	1st	First Thursday	Thursday	S2	T2	Q3	Aug	1st Thu	Thu	0740-S2	0740-T2	0740-Q3	0740-08 (Aug)	0740-214	0740-Second Semester	0740-Second Trimester	0740-Third Quarter	0740-08 (August)	0740-W31	0740-W-4	Weekday
7400901	7010101	7400101	7400701	7400901	7400601	7400901	7400826	0740-09-01	0701-01-01	0740-01-01	0740-07-01	0740-09-01	0740-06-01	0740-09-01	0740-08-26	7400901	8	740	2	3	3	9	35	245	1	1	7	-38794032000	0740-09-01	September 1st, 0740	01 SEP 0740	Eighth	0740-01-01	Second	Third	Third	September	245	1st	First Sunday	Sunday	S2	T2	Q3	Sep	1st Sun	Sun	0740-S2	0740-T2	0740-Q3	0740-09 (Sep)	0740-245	0740-Second Semester	0740-Third Trimester	0740-Third Quarter	0740-09 (September)	0740-W35	0740-W-7	Weekend
7401001	7010101	7400101	7400701	7400901	7401001	7401001	7400930	0740-10-01	0701-01-01	0740-01-01	0740-07-01	0740-09-01	0740-10-01	0740-10-01	0740-09-30	7401001	8	740	2	3	4	10	40	275	1	1	2	-38791440000	0740-10-01	October 1st, 0740	01 OCT 0740	Eighth	0740-01-01	Second	Third	Forth	October	275	1st	First Tuesday	Tuesday	S2	T2	Q4	Oct	1st Tue	Tue	0740-S2	0740-T2	0740-Q4	0740-10 (Oct)	0740-275	0740-Second Semester	0740-Third Trimester	0740-Forth Quarter	0740-10 (October)	0740-W40	0740-W-2	Weekday
