Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
2172-01-01	21720101	21720101	2172-01-01	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2171-12-30	21711230	1	2171-W01	Wednesday	001	01
2172-01-02	21720102	21720102	2172-01-02	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2171-12-30	21711230	1	2171-W01	Thursday	002	02
2172-01-03	21720103	21720103	2172-01-03	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2171-12-30	21711230	1	2171-W01	Friday	003	03
2172-01-04	21720104	21720104	2172-01-04	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2171-12-30	21711230	1	2171-W01	Saturday	004	04
2172-01-05	21720105	21720105	2172-01-05	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2171-12-30	21711230	1	2171-W01	Sunday	005	05
2172-01-06	21720106	21720106	2172-01-06	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-06	21720106	2	2172-W02	Monday	006	06
2172-01-07	21720107	21720107	2172-01-07	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-06	21720106	2	2172-W02	Tuesday	007	07
2172-01-08	21720108	21720108	2172-01-08	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-06	21720106	2	2172-W02	Wednesday	008	08
2172-01-09	21720109	21720109	2172-01-09	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-06	21720106	2	2172-W02	Thursday	009	09
2172-01-10	21720110	21720110	2172-01-10	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-06	21720106	2	2172-W02	Friday	010	10
2172-01-11	21720111	21720111	2172-01-11	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-06	21720106	2	2172-W02	Saturday	011	11
2172-01-12	21720112	21720112	2172-01-12	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-06	21720106	2	2172-W02	Sunday	012	12
2172-01-13	21720113	21720113	2172-01-13	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-13	21720113	3	2172-W03	Monday	013	13
2172-01-14	21720114	21720114	2172-01-14	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-13	21720113	3	2172-W03	Tuesday	014	14
2172-01-15	21720115	21720115	2172-01-15	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-13	21720113	3	2172-W03	Wednesday	015	15
2172-01-16	21720116	21720116	2172-01-16	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-13	21720113	3	2172-W03	Thursday	016	16
2172-01-17	21720117	21720117	2172-01-17	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-13	21720113	3	2172-W03	Friday	017	17
2172-01-18	21720118	21720118	2172-01-18	2101-01-01	21010101	22	22nd	2172-01-01	21720101	2172	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-01	21720101	1	2172-01-01	2172-01-13	21720113	3	2172-W03	Saturday	018	18
