DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
16910101	16010101	16910101	16910101	16910101	16910101	16910101	16910101	1691-01-01	1601-01-01	1691-01-01	1691-01-01	1691-01-01	1691-01-01	1691-01-01	1691-01-01	16910101	17	1691	1	1	1	1	1	1	1	1	1	-8804332800	1691-01-01	January 1st, 1691	01 JAN 1691	Seventeenth	1691-01-01	First	First	First	January	001	1st	First Monday	Monday	S1	T1	Q1	Jan	1st Mon	Mon	1691-S1	1691-T1	1691-Q1	1691-01 (Jan)	1691-001	1691-First Semester	1691-First Trimester	1691-First Quarter	1691-01 (January)	1691-W01	1691-W-1	Weekday
16910201	16010101	16910101	16910101	16910101	16910101	16910201	16910129	1691-02-01	1601-01-01	1691-01-01	1691-01-01	1691-01-01	1691-01-01	1691-02-01	1691-01-29	16910201	17	1691	1	1	1	2	5	32	1	1	4	-8801654400	1691-02-01	February 1st, 1691	01 FEB 1691	Seventeenth	1691-01-01	First	First	First	February	032	1st	First Thursday	Thursday	S1	T1	Q1	Feb	1st Thu	Thu	1691-S1	1691-T1	1691-Q1	1691-02 (Feb)	1691-032	1691-First Semester	1691-First Trimester	1691-First Quarter	1691-02 (February)	1691-W05	1691-W-4	Weekday
16910301	16010101	16910101	16910101	16910101	16910101	16910301	16910226	1691-03-01	1601-01-01	1691-01-01	1691-01-01	1691-01-01	1691-01-01	1691-03-01	1691-02-26	16910301	17	1691	1	1	1	3	9	60	1	1	4	-8799235200	1691-03-01	March 1st, 1691	01 MAR 1691	Seventeenth	1691-01-01	First	First	First	March	060	1st	First Thursday	Thursday	S1	T1	Q1	Mar	1st Thu	Thu	1691-S1	1691-T1	1691-Q1	1691-03 (Mar)	1691-060	1691-First Semester	1691-First Trimester	1691-First Quarter	1691-03 (March)	1691-W09	1691-W-4	Weekday
16910401	16010101	16910101	16910101	16910101	16910401	16910401	16910326	1691-04-01	1601-01-01	1691-01-01	1691-01-01	1691-01-01	1691-04-01	1691-04-01	1691-03-26	16910401	17	1691	1	1	2	4	13	91	1	1	7	-8796556800	1691-04-01	April 1st, 1691	01 APR 1691	Seventeenth	1691-01-01	First	First	Second	April	091	1st	First Sunday	Sunday	S1	T1	Q2	Apr	1st Sun	Sun	1691-S1	1691-T1	1691-Q2	1691-04 (Apr)	1691-091	1691-First Semester	1691-First Trimester	1691-Second Quarter	1691-04 (April)	1691-W13	1691-W-7	Weekend
16910501	16010101	16910101	16910101	16910501	16910401	16910501	16910430	1691-05-01	1601-01-01	1691-01-01	1691-01-01	1691-05-01	1691-04-01	1691-05-01	1691-04-30	16910501	17	1691	1	2	2	5	18	121	1	1	2	-8793964800	1691-05-01	May 1st, 1691	01 MAY 1691	Seventeenth	1691-01-01	First	Second	Second	May	121	1st	First Tuesday	Tuesday	S1	T1	Q2	May	1st Tue	Tue	1691-S1	1691-T1	1691-Q2	1691-05 (May)	1691-121	1691-First Semester	1691-Second Trimester	1691-Second Quarter	1691-05 (May)	1691-W18	1691-W-2	Weekday
16910601	16010101	16910101	16910101	16910501	16910401	16910601	16910528	1691-06-01	1601-01-01	1691-01-01	1691-01-01	1691-05-01	1691-04-01	1691-06-01	1691-05-28	16910601	17	1691	1	2	2	6	22	152	1	1	5	-8791286400	1691-06-01	June 1st, 1691	01 JUN 1691	Seventeenth	1691-01-01	First	Second	Second	June	152	1st	First Friday	Friday	S1	T1	Q2	Jun	1st Fri	Fri	1691-S1	1691-T1	1691-Q2	1691-06 (Jun)	1691-152	1691-First Semester	1691-Second Trimester	1691-Second Quarter	1691-06 (June)	1691-W22	1691-W-5	Weekday
16910701	16010101	16910101	16910701	16910501	16910601	16910701	16910625	1691-07-01	1601-01-01	1691-01-01	1691-07-01	1691-05-01	1691-06-01	1691-07-01	1691-06-25	16910701	17	1691	2	2	3	7	26	182	1	1	7	-8788694400	1691-07-01	July 1st, 1691	01 JUL 1691	Seventeenth	1691-01-01	Second	Second	Third	July	182	1st	First Sunday	Sunday	S2	T2	Q3	Jul	1st Sun	Sun	1691-S2	1691-T2	1691-Q3	1691-07 (Jul)	1691-182	1691-Second Semester	1691-Second Trimester	1691-Third Quarter	1691-07 (July)	1691-W26	1691-W-7	Weekend
16910801	16010101	16910101	16910701	16910501	16910601	16910801	16910730	1691-08-01	1601-01-01	1691-01-01	1691-07-01	1691-05-01	1691-06-01	1691-08-01	1691-07-30	16910801	17	1691	2	2	3	8	31	213	1	1	3	-8786016000	1691-08-01	August 1st, 1691	01 AUG 1691	Seventeenth	1691-01-01	Second	Second	Third	August	213	1st	First Wednesday	Wednesday	S2	T2	Q3	Aug	1st Wed	Wed	1691-S2	1691-T2	1691-Q3	1691-08 (Aug)	1691-213	1691-Second Semester	1691-Second Trimester	1691-Third Quarter	1691-08 (August)	1691-W31	1691-W-3	Weekday
16910901	16010101	16910101	16910701	16910901	16910601	16910901	16910827	1691-09-01	1601-01-01	1691-01-01	1691-07-01	1691-09-01	1691-06-01	1691-09-01	1691-08-27	16910901	17	1691	2	3	3	9	35	244	1	1	6	-8783337600	1691-09-01	September 1st, 1691	01 SEP 1691	Seventeenth	1691-01-01	Second	Third	Third	September	244	1st	First Saturday	Saturday	S2	T2	Q3	Sep	1st Sat	Sat	1691-S2	1691-T2	1691-Q3	1691-09 (Sep)	1691-244	1691-Second Semester	1691-Third Trimester	1691-Third Quarter	1691-09 (September)	1691-W35	1691-W-6	Weekend
16911001	16010101	16910101	16910701	16910901	16911001	16911001	16911001	1691-10-01	1601-01-01	1691-01-01	1691-07-01	1691-09-01	1691-10-01	1691-10-01	1691-10-01	16911001	17	1691	2	3	4	10	40	274	1	1	1	-8780745600	1691-10-01	October 1st, 1691	01 OCT 1691	Seventeenth	1691-01-01	Second	Third	Forth	October	274	1st	First Monday	Monday	S2	T2	Q4	Oct	1st Mon	Mon	1691-S2	1691-T2	1691-Q4	1691-10 (Oct)	1691-274	1691-Second Semester	1691-Third Trimester	1691-Forth Quarter	1691-10 (October)	1691-W40	1691-W-1	Weekday
