Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
0515-01-01	5150101	5150101	0515-01-01	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0514-12-31	5141231	1	0514-W01	Tuesday	001	01
0515-01-02	5150102	5150102	0515-01-02	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0514-12-31	5141231	1	0514-W01	Wednesday	002	02
0515-01-03	5150103	5150103	0515-01-03	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0514-12-31	5141231	1	0514-W01	Thursday	003	03
0515-01-04	5150104	5150104	0515-01-04	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0514-12-31	5141231	1	0514-W01	Friday	004	04
0515-01-05	5150105	5150105	0515-01-05	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0514-12-31	5141231	1	0514-W01	Saturday	005	05
0515-01-06	5150106	5150106	0515-01-06	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0514-12-31	5141231	1	0514-W01	Sunday	006	06
0515-01-07	5150107	5150107	0515-01-07	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-07	5150107	2	0515-W02	Monday	007	07
0515-01-08	5150108	5150108	0515-01-08	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-07	5150107	2	0515-W02	Tuesday	008	08
0515-01-09	5150109	5150109	0515-01-09	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-07	5150107	2	0515-W02	Wednesday	009	09
0515-01-10	5150110	5150110	0515-01-10	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-07	5150107	2	0515-W02	Thursday	010	10
0515-01-11	5150111	5150111	0515-01-11	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-07	5150107	2	0515-W02	Friday	011	11
0515-01-12	5150112	5150112	0515-01-12	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-07	5150107	2	0515-W02	Saturday	012	12
0515-01-13	5150113	5150113	0515-01-13	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-07	5150107	2	0515-W02	Sunday	013	13
0515-01-14	5150114	5150114	0515-01-14	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-14	5150114	3	0515-W03	Monday	014	14
0515-01-15	5150115	5150115	0515-01-15	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-14	5150114	3	0515-W03	Tuesday	015	15
0515-01-16	5150116	5150116	0515-01-16	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-14	5150114	3	0515-W03	Wednesday	016	16
0515-01-17	5150117	5150117	0515-01-17	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-14	5150114	3	0515-W03	Thursday	017	17
0515-01-18	5150118	5150118	0515-01-18	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-14	5150114	3	0515-W03	Friday	018	18
0515-01-19	5150119	5150119	0515-01-19	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-14	5150114	3	0515-W03	Saturday	019	19
0515-01-20	5150120	5150120	0515-01-20	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-14	5150114	3	0515-W03	Sunday	020	20
0515-01-21	5150121	5150121	0515-01-21	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-21	5150121	4	0515-W04	Monday	021	21
0515-01-22	5150122	5150122	0515-01-22	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-21	5150121	4	0515-W04	Tuesday	022	22
0515-01-23	5150123	5150123	0515-01-23	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-21	5150121	4	0515-W04	Wednesday	023	23
0515-01-24	5150124	5150124	0515-01-24	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-21	5150121	4	0515-W04	Thursday	024	24
0515-01-25	5150125	5150125	0515-01-25	0501-01-01	5010101	6	6th	0515-01-01	5150101	515	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-01	5150101	1	0515-01-01	0515-01-21	5150121	4	0515-W04	Friday	025	25
