DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
5300101	5010101	5300101	5300101	5300101	5300101	5300101	5291226	0530-01-01	0501-01-01	0530-01-01	0530-01-01	0530-01-01	0530-01-01	0530-01-01	0529-12-26	5300101	6	530	1	1	1	1	52	1	1	1	7	-45441993600	0530-01-01	January 1st, 0530	01 JAN 0530	Sixth	0530-01-01	First	First	First	January	001	1st	First Sunday	Sunday	S1	T1	Q1	Jan	1st Sun	Sun	0530-S1	0530-T1	0530-Q1	0530-01 (Jan)	0530-001	0530-First Semester	0530-First Trimester	0530-First Quarter	0530-01 (January)	0529-W52	0529-W-7	Weekend
5300201	5010101	5300101	5300101	5300101	5300101	5300201	5300130	0530-02-01	0501-01-01	0530-01-01	0530-01-01	0530-01-01	0530-01-01	0530-02-01	0530-01-30	5300201	6	530	1	1	1	2	5	32	1	1	3	-45439315200	0530-02-01	February 1st, 0530	01 FEB 0530	Sixth	0530-01-01	First	First	First	February	032	1st	First Wednesday	Wednesday	S1	T1	Q1	Feb	1st Wed	Wed	0530-S1	0530-T1	0530-Q1	0530-02 (Feb)	0530-032	0530-First Semester	0530-First Trimester	0530-First Quarter	0530-02 (February)	0530-W05	0530-W-3	Weekday
5300301	5010101	5300101	5300101	5300101	5300101	5300301	5300227	0530-03-01	0501-01-01	0530-01-01	0530-01-01	0530-01-01	0530-01-01	0530-03-01	0530-02-27	5300301	6	530	1	1	1	3	9	60	1	1	3	-45436896000	0530-03-01	March 1st, 0530	01 MAR 0530	Sixth	0530-01-01	First	First	First	March	060	1st	First Wednesday	Wednesday	S1	T1	Q1	Mar	1st Wed	Wed	0530-S1	0530-T1	0530-Q1	0530-03 (Mar)	0530-060	0530-First Semester	0530-First Trimester	0530-First Quarter	0530-03 (March)	0530-W09	0530-W-3	Weekday
5300401	5010101	5300101	5300101	5300101	5300401	5300401	5300327	0530-04-01	0501-01-01	0530-01-01	0530-01-01	0530-01-01	0530-04-01	0530-04-01	0530-03-27	5300401	6	530	1	1	2	4	13	91	1	1	6	-45434217600	0530-04-01	April 1st, 0530	01 APR 0530	Sixth	0530-01-01	First	First	Second	April	091	1st	First Saturday	Saturday	S1	T1	Q2	Apr	1st Sat	Sat	0530-S1	0530-T1	0530-Q2	0530-04 (Apr)	0530-091	0530-First Semester	0530-First Trimester	0530-Second Quarter	0530-04 (April)	0530-W13	0530-W-6	Weekend
5300501	5010101	5300101	5300101	5300501	5300401	5300501	5300501	0530-05-01	0501-01-01	0530-01-01	0530-01-01	0530-05-01	0530-04-01	0530-05-01	0530-05-01	5300501	6	530	1	2	2	5	18	121	1	1	1	-45431625600	0530-05-01	May 1st, 0530	01 MAY 0530	Sixth	0530-01-01	First	Second	Second	May	121	1st	First Monday	Monday	S1	T1	Q2	May	1st Mon	Mon	0530-S1	0530-T1	0530-Q2	0530-05 (May)	0530-121	0530-First Semester	0530-Second Trimester	0530-Second Quarter	0530-05 (May)	0530-W18	0530-W-1	Weekday
5300601	5010101	5300101	5300101	5300501	5300401	5300601	5300529	0530-06-01	0501-01-01	0530-01-01	0530-01-01	0530-05-01	0530-04-01	0530-06-01	0530-05-29	5300601	6	530	1	2	2	6	22	152	1	1	4	-45428947200	0530-06-01	June 1st, 0530	01 JUN 0530	Sixth	0530-01-01	First	Second	Second	June	152	1st	First Thursday	Thursday	S1	T1	Q2	Jun	1st Thu	Thu	0530-S1	0530-T1	0530-Q2	0530-06 (Jun)	0530-152	0530-First Semester	0530-Second Trimester	0530-Second Quarter	0530-06 (June)	0530-W22	0530-W-4	Weekday
5300701	5010101	5300101	5300701	5300501	5300601	5300701	5300626	0530-07-01	0501-01-01	0530-01-01	0530-07-01	0530-05-01	0530-06-01	0530-07-01	0530-06-26	5300701	6	530	2	2	3	7	26	182	1	1	6	-45426355200	0530-07-01	July 1st, 0530	01 JUL 0530	Sixth	0530-01-01	Second	Second	Third	July	182	1st	First Saturday	Saturday	S2	T2	Q3	Jul	1st Sat	Sat	0530-S2	0530-T2	0530-Q3	0530-07 (Jul)	0530-182	0530-Second Semester	0530-Second Trimester	0530-Third Quarter	0530-07 (July)	0530-W26	0530-W-6	Weekend
5300801	5010101	5300101	5300701	5300501	5300601	5300801	5300731	0530-08-01	0501-01-01	0530-01-01	0530-07-01	0530-05-01	0530-06-01	0530-08-01	0530-07-31	5300801	6	530	2	2	3	8	31	213	1	1	2	-45423676800	0530-08-01	August 1st, 0530	01 AUG 0530	Sixth	0530-01-01	Second	Second	Third	August	213	1st	First Tuesday	Tuesday	S2	T2	Q3	Aug	1st Tue	Tue	0530-S2	0530-T2	0530-Q3	0530-08 (Aug)	0530-213	0530-Second Semester	0530-Second Trimester	0530-Third Quarter	0530-08 (August)	0530-W31	0530-W-2	Weekday
5300901	5010101	5300101	5300701	5300901	5300601	5300901	5300828	0530-09-01	0501-01-01	0530-01-01	0530-07-01	0530-09-01	0530-06-01	0530-09-01	0530-08-28	5300901	6	530	2	3	3	9	35	244	1	1	5	-45420998400	0530-09-01	September 1st, 0530	01 SEP 0530	Sixth	0530-01-01	Second	Third	Third	September	244	1st	First Friday	Friday	S2	T2	Q3	Sep	1st Fri	Fri	0530-S2	0530-T2	0530-Q3	0530-09 (Sep)	0530-244	0530-Second Semester	0530-Third Trimester	0530-Third Quarter	0530-09 (September)	0530-W35	0530-W-5	Weekday
5301001	5010101	5300101	5300701	5300901	5301001	5301001	5300925	0530-10-01	0501-01-01	0530-01-01	0530-07-01	0530-09-01	0530-10-01	0530-10-01	0530-09-25	5301001	6	530	2	3	4	10	39	274	1	1	7	-45418406400	0530-10-01	October 1st, 0530	01 OCT 0530	Sixth	0530-01-01	Second	Third	Forth	October	274	1st	First Sunday	Sunday	S2	T2	Q4	Oct	1st Sun	Sun	0530-S2	0530-T2	0530-Q4	0530-10 (Oct)	0530-274	0530-Second Semester	0530-Third Trimester	0530-Forth Quarter	0530-10 (October)	0530-W39	0530-W-7	Weekend
