DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
10600101	10010101	10600101	10600101	10600101	10600101	10600101	10591226	1060-01-01	1001-01-01	1060-01-01	1060-01-01	1060-01-01	1060-01-01	1060-01-01	1059-12-26	10600101	11	1060	1	1	1	1	52	1	1	1	7	-28716854400	1060-01-01	January 1st, 1060	01 JAN 1060	Eleventh	1060-01-01	First	First	First	January	001	1st	First Sunday	Sunday	S1	T1	Q1	Jan	1st Sun	Sun	1060-S1	1060-T1	1060-Q1	1060-01 (Jan)	1060-001	1060-First Semester	1060-First Trimester	1060-First Quarter	1060-01 (January)	1059-W52	1059-W-7	Weekend
10600201	10010101	10600101	10600101	10600101	10600101	10600201	10600130	1060-02-01	1001-01-01	1060-01-01	1060-01-01	1060-01-01	1060-01-01	1060-02-01	1060-01-30	10600201	11	1060	1	1	1	2	5	32	1	1	3	-28714176000	1060-02-01	February 1st, 1060	01 FEB 1060	Eleventh	1060-01-01	First	First	First	February	032	1st	First Wednesday	Wednesday	S1	T1	Q1	Feb	1st Wed	Wed	1060-S1	1060-T1	1060-Q1	1060-02 (Feb)	1060-032	1060-First Semester	1060-First Trimester	1060-First Quarter	1060-02 (February)	1060-W05	1060-W-3	Weekday
10600301	10010101	10600101	10600101	10600101	10600101	10600301	10600227	1060-03-01	1001-01-01	1060-01-01	1060-01-01	1060-01-01	1060-01-01	1060-03-01	1060-02-27	10600301	11	1060	1	1	1	3	9	61	1	1	4	-28711670400	1060-03-01	March 1st, 1060	01 MAR 1060	Eleventh	1060-01-01	First	First	First	March	061	1st	First Thursday	Thursday	S1	T1	Q1	Mar	1st Thu	Thu	1060-S1	1060-T1	1060-Q1	1060-03 (Mar)	1060-061	1060-First Semester	1060-First Trimester	1060-First Quarter	1060-03 (March)	1060-W09	1060-W-4	Weekday
10600401	10010101	10600101	10600101	10600101	10600401	10600401	10600326	1060-04-01	1001-01-01	1060-01-01	1060-01-01	1060-01-01	1060-04-01	1060-04-01	1060-03-26	10600401	11	1060	1	1	2	4	13	92	1	1	7	-28708992000	1060-04-01	April 1st, 1060	01 APR 1060	Eleventh	1060-01-01	First	First	Second	April	092	1st	First Sunday	Sunday	S1	T1	Q2	Apr	1st Sun	Sun	1060-S1	1060-T1	1060-Q2	1060-04 (Apr)	1060-092	1060-First Semester	1060-First Trimester	1060-Second Quarter	1060-04 (April)	1060-W13	1060-W-7	Weekend
10600501	10010101	10600101	10600101	10600501	10600401	10600501	10600430	1060-05-01	1001-01-01	1060-01-01	1060-01-01	1060-05-01	1060-04-01	1060-05-01	1060-04-30	10600501	11	1060	1	2	2	5	18	122	1	1	2	-28706400000	1060-05-01	May 1st, 1060	01 MAY 1060	Eleventh	1060-01-01	First	Second	Second	May	122	1st	First Tuesday	Tuesday	S1	T1	Q2	May	1st Tue	Tue	1060-S1	1060-T1	1060-Q2	1060-05 (May)	1060-122	1060-First Semester	1060-Second Trimester	1060-Second Quarter	1060-05 (May)	1060-W18	1060-W-2	Weekday
10600601	10010101	10600101	10600101	10600501	10600401	10600601	10600528	1060-06-01	1001-01-01	1060-01-01	1060-01-01	1060-05-01	1060-04-01	1060-06-01	1060-05-28	10600601	11	1060	1	2	2	6	22	153	1	1	5	-28703721600	1060-06-01	June 1st, 1060	01 JUN 1060	Eleventh	1060-01-01	First	Second	Second	June	153	1st	First Friday	Friday	S1	T1	Q2	Jun	1st Fri	Fri	1060-S1	1060-T1	1060-Q2	1060-06 (Jun)	1060-153	1060-First Semester	1060-Second Trimester	1060-Second Quarter	1060-06 (June)	1060-W22	1060-W-5	Weekday
10600701	10010101	10600101	10600701	10600501	10600601	10600701	10600625	1060-07-01	1001-01-01	1060-01-01	1060-07-01	1060-05-01	1060-06-01	1060-07-01	1060-06-25	10600701	11	1060	2	2	3	7	26	183	1	1	7	-28701129600	1060-07-01	July 1st, 1060	01 JUL 1060	Eleventh	1060-01-01	Second	Second	Third	July	183	1st	First Sunday	Sunday	S2	T2	Q3	Jul	1st Sun	Sun	1060-S2	1060-T2	1060-Q3	1060-07 (Jul)	1060-183	1060-Second Semester	1060-Second Trimester	1060-Third Quarter	1060-07 (July)	1060-W26	1060-W-7	Weekend
10600801	10010101	10600101	10600701	10600501	10600601	10600801	10600730	1060-08-01	1001-01-01	1060-01-01	1060-07-01	1060-05-01	1060-06-01	1060-08-01	1060-07-30	10600801	11	1060	2	2	3	8	31	214	1	1	3	-28698451200	1060-08-01	August 1st, 1060	01 AUG 1060	Eleventh	1060-01-01	Second	Second	Third	August	214	1st	First Wednesday	Wednesday	S2	T2	Q3	Aug	1st Wed	Wed	1060-S2	1060-T2	1060-Q3	1060-08 (Aug)	1060-214	1060-Second Semester	1060-Second Trimester	1060-Third Quarter	1060-08 (August)	1060-W31	1060-W-3	Weekday
10600901	10010101	10600101	10600701	10600901	10600601	10600901	10600827	1060-09-01	1001-01-01	1060-01-01	1060-07-01	1060-09-01	1060-06-01	1060-09-01	1060-08-27	10600901	11	1060	2	3	3	9	35	245	1	1	6	-28695772800	1060-09-01	September 1st, 1060	01 SEP 1060	Eleventh	1060-01-01	Second	Third	Third	September	245	1st	First Saturday	Saturday	S2	T2	Q3	Sep	1st Sat	Sat	1060-S2	1060-T2	1060-Q3	1060-09 (Sep)	1060-245	1060-Second Semester	1060-Third Trimester	1060-Third Quarter	1060-09 (September)	1060-W35	1060-W-6	Weekend
10601001	10010101	10600101	10600701	10600901	10601001	10601001	10601001	1060-10-01	1001-01-01	1060-01-01	1060-07-01	1060-09-01	1060-10-01	1060-10-01	1060-10-01	10601001	11	1060	2	3	4	10	40	275	1	1	1	-28693180800	1060-10-01	October 1st, 1060	01 OCT 1060	Eleventh	1060-01-01	Second	Third	Forth	October	275	1st	First Monday	Monday	S2	T2	Q4	Oct	1st Mon	Mon	1060-S2	1060-T2	1060-Q4	1060-10 (Oct)	1060-275	1060-Second Semester	1060-Third Trimester	1060-Forth Quarter	1060-10 (October)	1060-W40	1060-W-1	Weekday
