Date	DateKey	DateNumber	DateName	Century	CenturyKey	CenturyNumber	CenturyName	Year	YearKey	YearNumber	YearName	Semester	SemesterKey	SemesterNumber	SemesterName	Trimester	TrimesterKey	TrimesterNumber	TrimesterName	Quarter	QuarterKey	QuarterNumber	QuarterName	Month	MonthKey	MonthNumber	MonthName	ISOWeek	ISOWeekKey	ISOWeekNumber	ISOWeekName	DayOfWeekName	DayOfYearName	DayOfMonthName
2291-01-01	22910101	22910101	2291-01-01	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2290-12-29	22901229	1	2290-W01	Thursday	001	01
2291-01-02	22910102	22910102	2291-01-02	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2290-12-29	22901229	1	2290-W01	Friday	002	02
2291-01-03	22910103	22910103	2291-01-03	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2290-12-29	22901229	1	2290-W01	Saturday	003	03
2291-01-04	22910104	22910104	2291-01-04	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2290-12-29	22901229	1	2290-W01	Sunday	004	04
2291-01-05	22910105	22910105	2291-01-05	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-05	22910105	2	2291-W02	Monday	005	05
2291-01-06	22910106	22910106	2291-01-06	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-05	22910105	2	2291-W02	Tuesday	006	06
2291-01-07	22910107	22910107	2291-01-07	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-05	22910105	2	2291-W02	Wednesday	007	07
2291-01-08	22910108	22910108	2291-01-08	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-05	22910105	2	2291-W02	Thursday	008	08
2291-01-09	22910109	22910109	2291-01-09	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-05	22910105	2	2291-W02	Friday	009	09
2291-01-10	22910110	22910110	2291-01-10	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-05	22910105	2	2291-W02	Saturday	010	10
2291-01-11	22910111	22910111	2291-01-11	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-05	22910105	2	2291-W02	Sunday	011	11
2291-01-12	22910112	22910112	2291-01-12	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-12	22910112	3	2291-W03	Monday	012	12
2291-01-13	22910113	22910113	2291-01-13	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-12	22910112	3	2291-W03	Tuesday	013	13
2291-01-14	22910114	22910114	2291-01-14	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-12	22910112	3	2291-W03	Wednesday	014	14
2291-01-15	22910115	22910115	2291-01-15	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-12	22910112	3	2291-W03	Thursday	015	15
2291-01-16	22910116	22910116	2291-01-16	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-12	22910112	3	2291-W03	Friday	016	16
2291-01-17	22910117	22910117	2291-01-17	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-12	22910112	3	2291-W03	Saturday	017	17
2291-01-18	22910118	22910118	2291-01-18	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-12	22910112	3	2291-W03	Sunday	018	18
2291-01-19	22910119	22910119	2291-01-19	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-19	22910119	4	2291-W04	Monday	019	19
2291-01-20	22910120	22910120	2291-01-20	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-19	22910119	4	2291-W04	Tuesday	020	20
2291-01-21	22910121	22910121	2291-01-21	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-19	22910119	4	2291-W04	Wednesday	021	21
2291-01-22	22910122	22910122	2291-01-22	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-19	22910119	4	2291-W04	Thursday	022	22
2291-01-23	22910123	22910123	2291-01-23	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-19	22910119	4	2291-W04	Friday	023	23
2291-01-24	22910124	22910124	2291-01-24	2201-01-01	22010101	23	23rd	2291-01-01	22910101	2291	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-01	22910101	1	2291-01-01	2291-01-19	22910119	4	2291-W04	Saturday	024	24
