DateKey	CenturyKey	YearKey	SemesterKey	TrimesterKey	QuarterKey	MonthKey	ISOWeekKey	Date	Century	Year	Semester	Trimester	Quarter	Month	ISOWeek	DateNumber	CenturyNumber	YearNumber	SemesterNumber	TrimesterNumber	QuarterNumber	MonthNumber	ISOWeekNumber	DayOfYearNumber	DayOfMonthNumber	DayOfWeekMonthOccurrenceNumber	DayOfWeekNumber	UnixTimestamp	DateShortName	DateLongName	DateMilitary	CenturyName	YearName	SemesterName	TrimesterName	QuarterName	MonthName	DayOfYearName	DayOfMonthName	DayOfWeekMonthOccurrenceName	DayOfWeekName	SemesterAbbreviated	TrimesterAbbreviated	QuarterAbbreviated	MonthAbbreviation	DayOfWeekMonthOccurrenceAbbreviated	DayOfWeekAbbreviated	YearSemesterAbbreviated	YearTrimesterAbbreviated	YearQuarterAbbreviated	YearMonthAbbreviation	YearDayOfYearAbbreviated	YearSemesterName	YearTrimesterName	YearQuarterName	YearMonthName	ISOWeekName	ISOWeekDay	WeekSegmentName
2670101	2010101	2670101	2670101	2670101	2670101	2670101	2661231	0267-01-01	0201-01-01	0267-01-01	0267-01-01	0267-01-01	0267-01-01	0267-01-01	0266-12-31	2670101	3	267	1	1	1	1	1	1	1	1	2	-53741491200	0267-01-01	January 1st, 0267	01 JAN 0267	Third	0267-01-01	First	First	First	January	001	1st	First Tuesday	Tuesday	S1	T1	Q1	Jan	1st Tue	Tue	0267-S1	0267-T1	0267-Q1	0267-01 (Jan)	0267-001	0267-First Semester	0267-First Trimester	0267-First Quarter	0267-01 (January)	0266-W01	0266-W-2	Weekday
2670201	2010101	2670101	2670101	2670101	2670101	2670201	2670128	0267-02-01	0201-01-01	0267-01-01	0267-01-01	0267-01-01	0267-01-01	0267-02-01	0267-01-28	2670201	3	267	1	1	1	2	5	32	1	1	5	-53738812800	0267-02-01	February 1st, 0267	01 FEB 0267	Third	0267-01-01	First	First	First	February	032	1st	First Friday	Friday	S1	T1	Q1	Feb	1st Fri	Fri	0267-S1	0267-T1	0267-Q1	0267-02 (Feb)	0267-032	0267-First Semester	0267-First Trimester	0267-First Quarter	0267-02 (February)	0267-W05	0267-W-5	Weekday
2670301	2010101	2670101	2670101	2670101	2670101	2670301	2670225	0267-03-01	0201-01-01	0267-01-01	0267-01-01	0267-01-01	0267-01-01	0267-03-01	0267-02-25	2670301	3	267	1	1	1	3	9	60	1	1	5	-53736393600	0267-03-01	March 1st, 0267	01 MAR 0267	Third	0267-01-01	First	First	First	March	060	1st	First Friday	Friday	S1	T1	Q1	Mar	1st Fri	Fri	0267-S1	0267-T1	0267-Q1	0267-03 (Mar)	0267-060	0267-First Semester	0267-First Trimester	0267-First Quarter	0267-03 (March)	0267-W09	0267-W-5	Weekday
2670401	2010101	2670101	2670101	2670101	2670401	2670401	2670401	0267-04-01	0201-01-01	0267-01-01	0267-01-01	0267-01-01	0267-04-01	0267-04-01	0267-04-01	2670401	3	267	1	1	2	4	14	91	1	1	1	-53733715200	0267-04-01	April 1st, 0267	01 APR 0267	Third	0267-01-01	First	First	Second	April	091	1st	First Monday	Monday	S1	T1	Q2	Apr	1st Mon	Mon	0267-S1	0267-T1	0267-Q2	0267-04 (Apr)	0267-091	0267-First Semester	0267-First Trimester	0267-Second Quarter	0267-04 (April)	0267-W14	0267-W-1	Weekday
2670501	2010101	2670101	2670101	2670501	2670401	2670501	2670429	0267-05-01	0201-01-01	0267-01-01	0267-01-01	0267-05-01	0267-04-01	0267-05-01	0267-04-29	2670501	3	267	1	2	2	5	18	121	1	1	3	-53731123200	0267-05-01	May 1st, 0267	01 MAY 0267	Third	0267-01-01	First	Second	Second	May	121	1st	First Wednesday	Wednesday	S1	T1	Q2	May	1st Wed	Wed	0267-S1	0267-T1	0267-Q2	0267-05 (May)	0267-121	0267-First Semester	0267-Second Trimester	0267-Second Quarter	0267-05 (May)	0267-W18	0267-W-3	Weekday
2670601	2010101	2670101	2670101	2670501	2670401	2670601	2670527	0267-06-01	0201-01-01	0267-01-01	0267-01-01	0267-05-01	0267-04-01	0267-06-01	0267-05-27	2670601	3	267	1	2	2	6	22	152	1	1	6	-53728444800	0267-06-01	June 1st, 0267	01 JUN 0267	Third	0267-01-01	First	Second	Second	June	152	1st	First Saturday	Saturday	S1	T1	Q2	Jun	1st Sat	Sat	0267-S1	0267-T1	0267-Q2	0267-06 (Jun)	0267-152	0267-First Semester	0267-Second Trimester	0267-Second Quarter	0267-06 (June)	0267-W22	0267-W-6	Weekend
2670701	2010101	2670101	2670701	2670501	2670601	2670701	2670701	0267-07-01	0201-01-01	0267-01-01	0267-07-01	0267-05-01	0267-06-01	0267-07-01	0267-07-01	2670701	3	267	2	2	3	7	27	182	1	1	1	-53725852800	0267-07-01	July 1st, 0267	01 JUL 0267	Third	0267-01-01	Second	Second	Third	July	182	1st	First Monday	Monday	S2	T2	Q3	Jul	1st Mon	Mon	0267-S2	0267-T2	0267-Q3	0267-07 (Jul)	0267-182	0267-Second Semester	0267-Second Trimester	0267-Third Quarter	0267-07 (July)	0267-W27	0267-W-1	Weekday
2670801	2010101	2670101	2670701	2670501	2670601	2670801	2670729	0267-08-01	0201-01-01	0267-01-01	0267-07-01	0267-05-01	0267-06-01	0267-08-01	0267-07-29	2670801	3	267	2	2	3	8	31	213	1	1	4	-53723174400	0267-08-01	August 1st, 0267	01 AUG 0267	Third	0267-01-01	Second	Second	Third	August	213	1st	First Thursday	Thursday	S2	T2	Q3	Aug	1st Thu	Thu	0267-S2	0267-T2	0267-Q3	0267-08 (Aug)	0267-213	0267-Second Semester	0267-Second Trimester	0267-Third Quarter	0267-08 (August)	0267-W31	0267-W-4	Weekday
2670901	2010101	2670101	2670701	2670901	2670601	2670901	2670826	0267-09-01	0201-01-01	0267-01-01	0267-07-01	0267-09-01	0267-06-01	0267-09-01	0267-08-26	2670901	3	267	2	3	3	9	35	244	1	1	7	-53720496000	0267-09-01	September 1st, 0267	01 SEP 0267	Third	0267-01-01	Second	Third	Third	September	244	1st	First Sunday	Sunday	S2	T2	Q3	Sep	1st Sun	Sun	0267-S2	0267-T2	0267-Q3	0267-09 (Sep)	0267-244	0267-Second Semester	0267-Third Trimester	0267-Third Quarter	0267-09 (September)	0267-W35	0267-W-7	Weekend
2671001	2010101	2670101	2670701	2670901	2671001	2671001	2670930	0267-10-01	0201-01-01	0267-01-01	0267-07-01	0267-09-01	0267-10-01	0267-10-01	0267-09-30	2671001	3	267	2	3	4	10	40	274	1	1	2	-53717904000	0267-10-01	October 1st, 0267	01 OCT 0267	Third	0267-01-01	Second	Third	Forth	October	274	1st	First Tuesday	Tuesday	S2	T2	Q4	Oct	1st Tue	Tue	0267-S2	0267-T2	0267-Q4	0267-10 (Oct)	0267-274	0267-Second Semester	0267-Third Trimester	0267-Forth Quarter	0267-10 (October)	0267-W40	0267-W-2	Weekday
